                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2558,                 1.9862,                 2.0402,                 1.2667,                0.83017,                0.81157,                0.87649,                0.56684,                0.80418,                0.82625,                0.86915,                0.48293,                 1.0938,                 1.3538,                 1.5382,                 1.1983,             0.00023641,             0.00023641,             0.00023641
                      2,                 1.1585,                 1.5205,                 1.2883,                 1.1609,                0.79593,                0.77606,                0.83694,                0.55065,                0.78801,                0.76834,                 0.8308,                0.43904,                 1.1328,                 1.4526,                 1.1977,                  1.217,             0.00046972,             0.00046972,             0.00046972
                      3,                 1.1593,                 1.5096,                 1.1516,                 1.1646,                0.79179,                0.86873,                0.87386,                0.57651,                 0.7889,                0.85131,                0.85859,                0.46208,                 1.1175,                 1.4335,                 1.1514,                 1.2323,             0.00069831,             0.00069831,             0.00069831
                      4,                 1.1463,                 1.4465,                 1.0561,                 1.1651,                0.82157,                0.83784,                0.87419,                0.56546,                0.82281,                0.82473,                0.85866,                0.45448,                 1.1661,                 1.5245,                 1.0761,                 1.2512,             0.00069279,             0.00069279,             0.00069279
                      5,                 1.1417,                 1.4494,                0.95453,                 1.1562,                0.83261,                0.86421,                0.86234,                0.57766,                0.82873,                0.84942,                0.85448,                0.45668,                 1.1236,                 1.3187,                   0.88,                 1.1974,             0.00068573,             0.00068573,             0.00068573
                      6,                 1.1038,                 1.4302,                0.88406,                 1.1405,                 0.8796,                0.81804,                0.89737,                0.60988,                0.88367,                0.82124,                0.88977,                0.51118,                 1.1131,                 1.2693,                0.80882,                 1.2075,             0.00067866,             0.00067866,             0.00067866
                      7,                 1.0813,                 1.3975,                0.84572,                 1.1214,                0.84045,                0.84942,                 0.9068,                0.63828,                 0.8785,                0.85135,                0.91528,                0.52811,                 1.0192,                 1.2292,                0.73397,                 1.1364,             0.00067159,             0.00067159,             0.00067159
                      8,                 1.0823,                 1.3925,                0.85094,                 1.1296,                0.86521,                0.85714,                0.91264,                0.61896,                0.86875,                0.85611,                0.91778,                0.51777,                 1.0677,                 1.2369,                0.76001,                 1.1738,             0.00066452,             0.00066452,             0.00066452
                      9,                  1.053,                 1.3781,                0.81376,                  1.107,                0.84636,                0.84011,                0.89242,                 0.6423,                 0.8303,                0.85952,                0.90456,                0.52287,                 1.0139,                 1.2715,                0.75434,                 1.1478,             0.00065745,             0.00065745,             0.00065745
                     10,                 1.0618,                 1.3855,                0.79621,                 1.1182,                0.86684,                0.89961,                0.91847,                0.63758,                0.89195,                0.89239,                0.92981,                0.50284,                 1.0401,                 1.2726,                0.77052,                 1.1552,             0.00065038,             0.00065038,             0.00065038
                     11,                 1.0409,                 1.3712,                 0.7556,                 1.1125,                0.86781,                0.87645,                0.92455,                0.65929,                0.90086,                0.82625,                0.91793,                 0.5298,                0.98234,                 1.2402,                0.69206,                 1.1359,             0.00064331,             0.00064331,             0.00064331
                     12,                 1.0162,                 1.3122,                0.72842,                 1.0925,                0.87363,                0.88087,                0.92939,                0.67374,                0.87941,                0.88691,                0.93504,                0.55541,                0.97935,                 1.1777,                0.67555,                 1.1161,             0.00063625,             0.00063625,             0.00063625
                     13,                 1.0159,                 1.3452,                0.73545,                  1.092,                0.86786,                0.89575,                0.92308,                0.66399,                0.86487,                0.89189,                0.92182,                0.54322,                0.99527,                 1.2436,                0.64467,                  1.127,             0.00062918,             0.00062918,             0.00062918
                     14,                 1.0156,                 1.3291,                0.72177,                 1.0976,                0.88198,                0.89382,                 0.9294,                0.66011,                 0.8908,                0.90347,                0.93433,                0.53436,                 1.0073,                 1.2003,                0.63303,                 1.1356,             0.00062211,             0.00062211,             0.00062211
                     15,                 0.9992,                 1.3135,                0.69737,                 1.0968,                0.83495,                0.91802,                 0.9142,                0.67011,                0.83464,                0.91597,                0.91638,                0.54091,                0.94662,                 1.1846,                0.64086,                 1.1138,             0.00061504,             0.00061504,             0.00061504
                     16,                 1.0192,                 1.3341,                0.70002,                 1.0988,                0.86452,                0.88698,                0.91289,                0.65492,                0.85777,                0.89647,                 0.9224,                0.55987,                0.98148,                 1.1544,                0.66481,                 1.1083,             0.00060797,             0.00060797,             0.00060797
