                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2703,                 3.2807,                  2.741,                 1.5529,                0.27306,                 0.4062,                0.26724,                0.14264,                0.27077,                 0.3508,                0.23139,                0.11035,                 1.4248,                 3.2702,                 3.2116,                 1.8454,             0.00023647,             0.00023647,             0.00023647
                      2,                  1.253,                 2.7477,                 2.0082,                 1.5279,                0.49714,                0.44469,                0.41198,                 0.2179,                 0.4718,                0.40706,                0.35721,                0.18958,                 1.4362,                 2.9822,                 2.0682,                 1.9456,             0.00046978,             0.00046978,             0.00046978
                      3,                 1.2546,                 2.7183,                 1.8894,                 1.5256,                0.47823,                0.43855,                0.40938,                0.25457,                0.47989,                0.39236,                0.37847,                0.22878,                   1.32,                 2.6342,                 1.9067,                 1.8334,             0.00069837,             0.00069837,             0.00069837
                      4,                 1.2717,                 2.7445,                 1.8351,                 1.5259,                0.48962,                0.40194,                0.39956,                 0.2348,                0.47021,                0.37281,                0.35911,                0.19376,                 1.3455,                 3.0511,                 2.0699,                  1.818,             0.00069279,             0.00069279,             0.00069279
                      5,                 1.2175,                 2.6138,                  1.725,                 1.5051,                0.62638,                  0.459,                0.50499,                0.31755,                 0.6051,                0.43991,                0.45713,                0.27851,                 1.2805,                  2.489,                 1.6636,                 1.7781,             0.00068573,             0.00068573,             0.00068573
                      6,                 1.1941,                 2.5937,                 1.6629,                 1.4765,                0.61982,                0.43642,                0.46998,                0.30153,                0.63741,                0.41339,                0.43303,                0.26262,                 1.3238,                 2.5757,                 1.6188,                 1.8019,             0.00067866,             0.00067866,             0.00067866
                      7,                 1.1969,                 2.6051,                 1.6319,                 1.4689,                0.65474,                 0.4968,                0.54704,                 0.3552,                0.64475,                0.46496,                0.50234,                0.30614,                 1.2341,                 2.3529,                 1.5544,                 1.7172,             0.00067159,             0.00067159,             0.00067159
                      8,                 1.1486,                 2.4754,                 1.5145,                 1.4452,                 0.6147,                  0.508,                 0.5458,                0.34761,                0.61838,                 0.4828,                0.52082,                0.31168,                 1.3025,                 2.3611,                 1.5466,                 1.7432,             0.00066452,             0.00066452,             0.00066452
                      9,                 1.1593,                 2.4247,                 1.5015,                 1.4284,                0.49807,                0.46395,                0.44766,                0.24214,                0.45901,                0.41334,                0.37581,                0.19165,                 1.3866,                  2.823,                 1.8832,                 1.7677,             0.00065745,             0.00065745,             0.00065745
                     10,                 1.1167,                 2.4061,                 1.4416,                  1.419,                0.68292,                0.52155,                0.60136,                 0.3725,                0.64856,                0.50161,                0.55724,                0.33688,                 1.2803,                 2.2913,                 1.4536,                 1.6959,             0.00065038,             0.00065038,             0.00065038
