epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.6632,1.28851,2.04831,1.9797,1.32349,0.73899,0.72008,0.78716,0.48054,0.74197,0.72201,0.78241,0.42604,1.22457,1.34776,1.80109,1.31614,0.000236413,0.000236413,0.000236413
2,35.9872,1.16477,1.50785,1.33499,1.18857,0.8551,0.79747,0.87466,0.56765,0.85888,0.78571,0.87018,0.48109,1.12118,1.31901,1.28483,1.22054,0.000469717,0.000469717,0.000469717
3,52.2792,1.15402,1.48297,1.18218,1.17092,0.78276,0.7529,0.83049,0.546,0.78454,0.75097,0.83322,0.47379,1.17679,1.28729,1.23853,1.27037,0.000698308,0.000698308,0.000698308
4,68.3409,1.15378,1.41933,1.08802,1.17686,0.84768,0.78958,0.87318,0.59603,0.8636,0.80502,0.88325,0.51045,1.12737,1.30803,0.97768,1.22345,0.000692794,0.000692794,0.000692794
5,84.2315,1.12506,1.43416,0.97773,1.15249,0.8587,0.85641,0.90035,0.59826,0.85095,0.84869,0.89398,0.48602,1.1389,1.33943,0.85595,1.21728,0.000685726,0.000685726,0.000685726
6,100.159,1.09265,1.38702,0.9059,1.14741,0.81631,0.8417,0.86699,0.55686,0.82856,0.85135,0.87662,0.50015,1.15187,1.25252,0.91095,1.26036,0.000678657,0.000678657,0.000678657
7,116.042,1.07246,1.37946,0.86283,1.1309,0.869,0.87082,0.92319,0.62794,0.87481,0.87684,0.92398,0.54509,1.08429,1.18262,0.79428,1.18624,0.000671588,0.000671588,0.000671588
8,131.919,1.07113,1.391,0.84952,1.1301,0.8587,0.85644,0.89927,0.61182,0.87448,0.85521,0.9152,0.52156,1.11613,1.23764,0.78051,1.24975,0.00066452,0.00066452,0.00066452
9,147.551,1.05074,1.3534,0.80617,1.12178,0.81428,0.861,0.88127,0.61957,0.83197,0.84363,0.8783,0.49846,1.06792,1.28103,0.78413,1.20455,0.000657451,0.000657451,0.000657451
10,163.273,1.05484,1.36793,0.79526,1.12277,0.8543,0.84942,0.90395,0.62875,0.85131,0.86216,0.91144,0.51213,1.06473,1.24256,0.74276,1.19482,0.000650383,0.000650383,0.000650383
