epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.8254,1.21844,1.98709,2.12406,1.24437,0.74334,0.78185,0.77921,0.4853,0.75353,0.78764,0.78958,0.41994,1.21698,1.4583,1.45274,1.27163,0.0702,0.00331111,0.00331111
2,40.0734,1.07422,1.45534,1.11002,1.0945,0.46091,0.33591,0.32737,0.17358,0.46477,0.3166,0.31444,0.13167,1.65347,1.92208,2.44887,1.60734,0.0401342,0.00657866,0.00657866
3,58.0747,1.08578,1.44859,1.0132,1.10622,0.79271,0.69394,0.73201,0.44106,0.80153,0.70166,0.74577,0.34593,1.307,1.70396,1.66116,1.35552,0.0100024,0.00978022,0.00978022
4,75.784,1.10337,1.42348,0.99183,1.12475,0.73281,0.64672,0.68604,0.35886,0.66686,0.57578,0.5734,0.21899,1.53131,2.13243,1.36604,1.59963,0.009703,0.009703,0.009703
5,93.5816,1.0667,1.42121,0.93105,1.11561,0.7312,0.70895,0.73359,0.46301,0.72962,0.71236,0.72848,0.35524,1.28546,1.70528,1.28123,1.36538,0.009604,0.009604,0.009604
6,111.144,1.02522,1.30851,0.84135,1.09108,0.78266,0.76255,0.7946,0.47185,0.78237,0.7426,0.78061,0.38558,1.38244,1.54619,1.11636,1.46134,0.009505,0.009505,0.009505
7,128.699,0.96894,1.2434,0.78502,1.06733,0.80203,0.78211,0.79896,0.51225,0.80059,0.7983,0.81322,0.43384,1.17985,1.46728,1.04585,1.27176,0.009406,0.009406,0.009406
8,146.395,0.92984,1.19252,0.73268,1.0486,0.83713,0.74131,0.80558,0.5179,0.83748,0.73616,0.79868,0.39597,1.2389,1.54882,1.05424,1.34519,0.009307,0.009307,0.009307
9,163.802,0.90581,1.16832,0.69691,1.02986,0.85964,0.83591,0.89069,0.59907,0.85367,0.83341,0.88531,0.49142,1.12368,1.35867,0.80562,1.22878,0.009208,0.009208,0.009208
10,181.506,0.87035,1.13631,0.66174,1.01615,0.86283,0.82625,0.88564,0.58332,0.86729,0.83012,0.87472,0.44914,1.18649,1.53055,0.7866,1.29744,0.009109,0.009109,0.009109
11,198.972,0.85359,1.15086,0.65456,1.02052,0.86888,0.82046,0.87335,0.58986,0.8648,0.815,0.86574,0.49278,1.13215,1.37846,0.80833,1.26876,0.00901,0.00901,0.00901
