epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.9516,1.30969,2.35632,2.57382,1.35558,0.87626,0.41012,0.72605,0.47014,0.84739,0.39661,0.70876,0.33952,1.08612,1.5751,2.6138,1.28528,0.000231737,0.000231737,0.000231737
2,25.5078,1.11749,1.46937,1.35024,1.12204,0.82637,0.70849,0.81198,0.54407,0.78584,0.67375,0.73554,0.33693,1.10551,1.84928,2.1149,1.22664,0.000465086,0.000465086,0.000465086
3,37.3098,1.13621,1.48011,1.19781,1.14829,0.52137,0.35328,0.35212,0.17867,0.52811,0.32623,0.3095,0.13033,1.77007,4.58509,2.57965,1.81368,0.000693724,0.000693724,0.000693724
4,49.1056,1.13186,1.48372,1.07898,1.14433,0.70728,0.73938,0.7481,0.46205,0.7072,0.74606,0.74737,0.35236,1.28879,1.95353,1.43802,1.4494,0.000692794,0.000692794,0.000692794
5,60.8043,1.12623,1.48495,1.00053,1.13477,0.75422,0.78571,0.81221,0.55834,0.75249,0.78185,0.78893,0.41792,1.11597,1.51552,1.2474,1.23942,0.000685726,0.000685726,0.000685726
6,72.4797,1.08149,1.38877,0.90644,1.11957,0.84541,0.84456,0.88036,0.58234,0.83723,0.82432,0.87617,0.47404,1.14403,1.40957,0.91742,1.23373,0.000678657,0.000678657,0.000678657
7,84.1108,1.06387,1.37884,0.84411,1.10456,0.80741,0.84172,0.86778,0.58951,0.80995,0.83205,0.86649,0.47589,1.09041,1.33047,0.99143,1.19833,0.000671588,0.000671588,0.000671588
8,95.6728,1.06812,1.37782,0.81373,1.10632,0.83704,0.82303,0.89078,0.59466,0.84313,0.82625,0.89041,0.49628,1.10509,1.35377,0.94762,1.19433,0.00066452,0.00066452,0.00066452
9,107.269,1.05682,1.36595,0.79702,1.09676,0.86009,0.81886,0.88904,0.60381,0.86617,0.82466,0.89497,0.50468,1.07305,1.21714,0.81872,1.19196,0.000657451,0.000657451,0.000657451
10,118.802,1.02056,1.3305,0.76249,1.08716,0.79386,0.77992,0.8381,0.54321,0.79714,0.78571,0.83848,0.43523,1.19002,1.39162,0.91956,1.24835,0.000650383,0.000650383,0.000650383
11,130.35,1.02721,1.33513,0.74764,1.10198,0.87821,0.83524,0.89985,0.63487,0.88633,0.84296,0.89903,0.52684,1.03674,1.25528,0.75005,1.14335,0.000643314,0.000643314,0.000643314
12,141.89,1.01549,1.31753,0.72732,1.0866,0.87091,0.84363,0.9106,0.63367,0.87689,0.84942,0.91702,0.54579,1.06552,1.20771,0.6997,1.18788,0.000636245,0.000636245,0.000636245
13,153.393,1.00505,1.3158,0.71984,1.08342,0.79349,0.80113,0.87408,0.60893,0.84634,0.7656,0.8644,0.49847,1.04387,1.28226,0.79032,1.16637,0.000629177,0.000629177,0.000629177
14,164.807,1.00228,1.29154,0.70719,1.08194,0.88994,0.85521,0.91646,0.65028,0.89212,0.85714,0.91962,0.52353,1.02727,1.22434,0.70176,1.16244,0.000622108,0.000622108,0.000622108
15,176.4,0.9914,1.30522,0.68475,1.08591,0.86774,0.8613,0.90936,0.65378,0.85996,0.85358,0.9004,0.51166,0.99701,1.30335,0.67935,1.12897,0.00061504,0.00061504,0.00061504
16,187.901,0.98974,1.28325,0.66872,1.07894,0.86495,0.85311,0.89192,0.61822,0.86495,0.85311,0.89973,0.47973,1.06856,1.31161,0.74482,1.16594,0.000607971,0.000607971,0.000607971
17,199.392,0.99542,1.29184,0.67404,1.07942,0.86588,0.87245,0.91836,0.65435,0.87355,0.88017,0.93098,0.55469,1.02994,1.16038,0.70739,1.15573,0.000600902,0.000600902,0.000600902
18,210.953,0.97089,1.29276,0.66586,1.06609,0.88152,0.87452,0.92744,0.67415,0.88347,0.87645,0.9315,0.57106,0.97127,1.15768,0.63211,1.11118,0.000593834,0.000593834,0.000593834
19,222.487,1.0188,1.31101,0.69661,1.0914,0.90355,0.87645,0.91665,0.6544,0.8986,0.88964,0.93326,0.54,1.0201,1.19772,0.64788,1.15021,0.000586765,0.000586765,0.000586765
20,233.931,0.95675,1.27444,0.64325,1.05867,0.90005,0.88659,0.93683,0.69168,0.90387,0.88946,0.94422,0.56928,0.9416,1.15714,0.58927,1.09733,0.000579697,0.000579697,0.000579697
21,245.488,0.96347,1.27503,0.64116,1.06557,0.88458,0.88773,0.91871,0.66589,0.88572,0.88996,0.9304,0.53657,0.97324,1.19347,0.74892,1.12362,0.000572628,0.000572628,0.000572628
