epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.1071,1.21851,1.94715,1.93823,1.24669,0.77129,0.8073,0.83047,0.53876,0.76168,0.77743,0.79994,0.39006,1.15897,1.6364,1.56874,1.22781,0.000236413,0.000236413,0.000236413
2,40.4125,1.02754,1.41132,1.11533,1.08733,0.83257,0.768,0.83967,0.53692,0.82682,0.79264,0.83929,0.39781,1.19076,1.54782,1.27703,1.29509,0.000469717,0.000469717,0.000469717
3,58.4779,0.98292,1.327,0.93353,1.06874,0.83083,0.82487,0.85765,0.56603,0.83886,0.82432,0.86145,0.4565,1.14575,1.46371,1.05459,1.24812,0.000698308,0.000698308,0.000698308
4,76.4926,0.93426,1.28068,0.83148,1.04285,0.79797,0.81587,0.84879,0.56981,0.83458,0.77799,0.83642,0.41418,1.1423,1.57537,1.00393,1.22966,0.000692794,0.000692794,0.000692794
5,94.1384,0.9006,1.23544,0.73689,1.03998,0.80627,0.82625,0.84181,0.55558,0.7867,0.8166,0.83786,0.43978,1.15448,1.56385,0.90665,1.23967,0.000685726,0.000685726,0.000685726
6,111.771,0.88004,1.17268,0.67432,1.02141,0.81919,0.86873,0.88175,0.59893,0.82157,0.84749,0.87028,0.48114,1.11722,1.49425,0.81111,1.21491,0.000678657,0.000678657,0.000678657
7,129.62,0.84301,1.11962,0.65053,1.00906,0.85552,0.80116,0.85201,0.58211,0.87904,0.8166,0.86459,0.47463,1.15961,1.36443,0.85984,1.2341,0.000671588,0.000671588,0.000671588
8,147.494,0.80932,1.08657,0.59689,0.99605,0.8647,0.79344,0.86512,0.58523,0.87865,0.80502,0.88586,0.47953,1.10993,1.38634,0.83764,1.22516,0.00066452,0.00066452,0.00066452
9,165.242,0.7923,1.06796,0.58511,0.98281,0.83754,0.85328,0.875,0.61517,0.86073,0.83977,0.88302,0.51487,1.04059,1.32045,0.78529,1.17342,0.000657451,0.000657451,0.000657451
10,182.945,0.77001,1.04896,0.56971,0.9781,0.86498,0.8417,0.88584,0.6251,0.88034,0.83798,0.89791,0.49307,1.06439,1.4389,0.73307,1.1968,0.000650383,0.000650383,0.000650383
11,200.658,0.76607,1.04159,0.56107,0.98081,0.84287,0.84363,0.88657,0.61279,0.85471,0.84363,0.8911,0.50164,1.07168,1.38582,0.72663,1.22913,0.000643314,0.000643314,0.000643314
12,218.324,0.72967,1.00681,0.52371,0.96366,0.86087,0.87202,0.88717,0.61549,0.85395,0.88224,0.89022,0.49444,1.05095,1.36435,0.86833,1.19306,0.000636245,0.000636245,0.000636245
13,235.99,0.71065,0.97255,0.50071,0.95535,0.8463,0.86103,0.88822,0.61969,0.85534,0.85328,0.89723,0.50387,1.04115,1.37893,0.7324,1.16636,0.000629177,0.000629177,0.000629177
14,253.594,0.70097,0.95638,0.49966,0.95838,0.82493,0.80502,0.85562,0.59087,0.82077,0.83099,0.87631,0.50377,1.0892,1.29972,0.85026,1.21238,0.000622108,0.000622108,0.000622108
