epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.1386,1.21452,1.94555,1.94785,1.24612,0.73391,0.74543,0.78093,0.50555,0.73578,0.74324,0.78919,0.41867,1.18529,1.40522,1.7579,1.26638,0.000236413,0.000236413,0.000236413
2,40.6365,1.03256,1.43427,1.10667,1.08854,0.80783,0.79923,0.86622,0.56608,0.80305,0.77606,0.83149,0.41292,1.13949,1.54903,1.27121,1.2474,0.000469717,0.000469717,0.000469717
3,58.7265,0.97642,1.33729,0.94164,1.06426,0.83038,0.80334,0.85274,0.56192,0.82932,0.79732,0.83889,0.44665,1.17065,1.46921,1.03191,1.25231,0.000698308,0.000698308,0.000698308
4,76.6112,0.92258,1.26085,0.8208,1.03871,0.80455,0.79151,0.84463,0.54758,0.80235,0.79537,0.84061,0.44609,1.17376,1.48884,1.24422,1.2637,0.000692794,0.000692794,0.000692794
5,94.3311,0.90676,1.22808,0.74923,1.03575,0.83755,0.80619,0.86727,0.56318,0.83227,0.80502,0.86294,0.4673,1.17327,1.39305,0.87089,1.26453,0.000685726,0.000685726,0.000685726
6,112.152,0.89823,1.17184,0.69169,1.03063,0.8473,0.7927,0.85807,0.58273,0.82711,0.8166,0.85294,0.45923,1.12896,1.47594,0.89162,1.22482,0.000678657,0.000678657,0.000678657
7,130.053,0.82865,1.11543,0.64402,1.00154,0.83224,0.77606,0.83825,0.57463,0.87048,0.78378,0.86282,0.46623,1.08634,1.39961,0.84217,1.22653,0.000671588,0.000671588,0.000671588
8,147.71,0.80875,1.08936,0.60367,0.99229,0.81424,0.83012,0.86361,0.59118,0.82158,0.81081,0.85433,0.45999,1.09409,1.43942,0.80311,1.20412,0.00066452,0.00066452,0.00066452
9,165.38,0.79838,1.08815,0.57754,0.98573,0.85608,0.78185,0.86659,0.60163,0.86039,0.77992,0.86612,0.47574,1.08678,1.43587,0.81455,1.21791,0.000657451,0.000657451,0.000657451
10,183.266,0.77469,1.05437,0.57214,0.97857,0.85193,0.83012,0.88834,0.61591,0.85391,0.83205,0.88927,0.4956,1.08002,1.42651,0.74973,1.20745,0.000650383,0.000650383,0.000650383
11,200.924,0.76588,1.05375,0.5549,0.98036,0.87817,0.84882,0.89631,0.63351,0.87492,0.85075,0.88978,0.50876,1.02686,1.33434,0.68513,1.18001,0.000643314,0.000643314,0.000643314
12,218.706,0.74475,1.0048,0.53174,0.97161,0.85134,0.7973,0.85111,0.58615,0.85958,0.80502,0.87393,0.46599,1.10573,1.41981,0.83699,1.21899,0.000636245,0.000636245,0.000636245
13,236.337,0.71566,0.98108,0.49825,0.95914,0.8422,0.85714,0.90635,0.62918,0.84773,0.85907,0.90281,0.51842,1.05703,1.36684,0.69522,1.18701,0.000629177,0.000629177,0.000629177
14,254.051,0.70345,0.95276,0.49686,0.9579,0.84665,0.85907,0.90313,0.62901,0.85356,0.861,0.90005,0.50887,1.06426,1.33703,0.70084,1.19678,0.000622108,0.000622108,0.000622108
15,271.655,0.70986,0.96759,0.49901,0.95881,0.84058,0.84942,0.87599,0.63364,0.86189,0.83977,0.89003,0.4898,1.01551,1.48254,0.71663,1.15449,0.00061504,0.00061504,0.00061504
16,289.22,0.68262,0.93764,0.47045,0.95081,0.87438,0.84749,0.90532,0.63633,0.88274,0.85742,0.9199,0.51641,1.02462,1.3166,0.67431,1.18484,0.000607971,0.000607971,0.000607971
17,306.916,0.67039,0.90207,0.46851,0.94557,0.8814,0.7973,0.89322,0.63439,0.87931,0.82239,0.89971,0.52347,1.04433,1.32213,0.74537,1.17962,0.000600902,0.000600902,0.000600902
18,324.707,0.66981,0.90752,0.46103,0.94326,0.86534,0.85328,0.91785,0.64775,0.89034,0.84642,0.90912,0.52523,1.02848,1.31269,0.68294,1.18035,0.000593834,0.000593834,0.000593834
19,342.348,0.64471,0.8925,0.44805,0.94016,0.84024,0.88335,0.89587,0.64593,0.84187,0.87838,0.90178,0.51992,0.99867,1.34951,0.69509,1.17585,0.000586765,0.000586765,0.000586765
20,359.964,0.64811,0.88352,0.45194,0.94375,0.86288,0.88684,0.9182,0.66767,0.86624,0.88764,0.91937,0.53281,0.99673,1.28347,0.61815,1.15971,0.000579697,0.000579697,0.000579697
21,377.645,0.64986,0.87999,0.44886,0.93886,0.86023,0.85907,0.90887,0.64263,0.8781,0.86216,0.91352,0.52707,1.02992,1.25096,0.63705,1.1561,0.000572628,0.000572628,0.000572628
22,395.594,0.64495,0.86724,0.44068,0.94241,0.8739,0.84283,0.89362,0.63548,0.87371,0.84142,0.89472,0.51115,1.01318,1.32571,0.67517,1.16046,0.000565559,0.000565559,0.000565559
23,413.342,0.61545,0.85116,0.42414,0.92961,0.89263,0.85521,0.92104,0.67326,0.88585,0.86891,0.92922,0.54686,0.99853,1.30015,0.60655,1.15887,0.000558491,0.000558491,0.000558491
24,431.066,0.61903,0.83282,0.42545,0.93193,0.87294,0.89382,0.92704,0.6815,0.88192,0.89398,0.92645,0.55932,0.97706,1.27522,0.61227,1.13022,0.000551422,0.000551422,0.000551422
25,448.742,0.63067,0.85436,0.4366,0.93287,0.87248,0.87175,0.91564,0.65705,0.88175,0.87807,0.92095,0.55078,0.97906,1.2802,0.60179,1.14288,0.000544354,0.000544354,0.000544354
26,466.386,0.60127,0.82724,0.41454,0.92953,0.8945,0.86748,0.9245,0.68059,0.89251,0.86555,0.92511,0.55435,0.94623,1.24499,0.5999,1.12549,0.000537285,0.000537285,0.000537285
27,484.102,0.59983,0.81687,0.41207,0.92089,0.89103,0.87259,0.93029,0.68364,0.90422,0.87066,0.93431,0.56493,0.96335,1.28277,0.59319,1.14999,0.000530216,0.000530216,0.000530216
28,501.971,0.59461,0.80484,0.40667,0.92786,0.86585,0.85974,0.90352,0.66259,0.88523,0.87855,0.91837,0.55522,0.99683,1.23377,0.62861,1.16757,0.000523148,0.000523148,0.000523148
29,519.603,0.59528,0.80022,0.40137,0.92673,0.88063,0.86878,0.92181,0.6778,0.89724,0.87645,0.93642,0.54995,0.97168,1.22376,0.60118,1.15378,0.000516079,0.000516079,0.000516079
30,537.36,0.59292,0.79773,0.40327,0.92095,0.90459,0.86022,0.90893,0.65448,0.91668,0.87081,0.92387,0.54156,0.97656,1.25672,0.61756,1.14489,0.000509011,0.000509011,0.000509011
31,555.148,0.57404,0.79013,0.39882,0.92067,0.88654,0.85977,0.91471,0.66132,0.90054,0.87066,0.92973,0.54813,0.99471,1.25397,0.59224,1.16598,0.000501942,0.000501942,0.000501942
32,572.952,0.5786,0.79707,0.39294,0.91733,0.92303,0.83205,0.92496,0.67665,0.92938,0.83837,0.93989,0.56217,0.97564,1.2466,0.58793,1.13373,0.000494873,0.000494873,0.000494873
33,590.686,0.5621,0.76596,0.38747,0.91056,0.89791,0.87259,0.93451,0.68978,0.90387,0.87838,0.93881,0.55438,0.95446,1.21161,0.56103,1.11405,0.000487805,0.000487805,0.000487805
34,608.524,0.55224,0.74207,0.37771,0.90793,0.89677,0.87204,0.92974,0.68696,0.90369,0.86948,0.93494,0.56532,0.92911,1.21055,0.5642,1.10578,0.000480736,0.000480736,0.000480736
35,626.27,0.56436,0.74309,0.38325,0.91249,0.85397,0.85714,0.89836,0.65048,0.86941,0.87399,0.91004,0.53995,0.98594,1.27043,0.65402,1.13822,0.000473668,0.000473668,0.000473668
36,644.006,0.55391,0.73183,0.37788,0.91415,0.90077,0.89372,0.9372,0.70457,0.90455,0.89647,0.93822,0.58982,0.93043,1.2005,0.56483,1.10829,0.000466599,0.000466599,0.000466599
37,661.735,0.55999,0.76932,0.38263,0.91281,0.91263,0.85328,0.92813,0.68863,0.91918,0.85633,0.93166,0.56277,0.95521,1.26181,0.57261,1.11388,0.00045953,0.00045953,0.00045953
38,679.353,0.54188,0.72747,0.36815,0.90679,0.90195,0.87452,0.93251,0.69689,0.92432,0.87238,0.93179,0.57094,0.92047,1.19975,0.56114,1.08846,0.000452462,0.000452462,0.000452462
39,696.96,0.53461,0.71922,0.36655,0.91035,0.8941,0.8668,0.92202,0.67903,0.91011,0.87957,0.93726,0.56794,0.96157,1.23011,0.57436,1.14157,0.000445393,0.000445393,0.000445393
40,714.618,0.53222,0.72857,0.36489,0.90872,0.89133,0.87086,0.91734,0.67493,0.90856,0.86316,0.92385,0.55188,0.96576,1.24117,0.59368,1.13786,0.000438325,0.000438325,0.000438325
41,732.229,0.54117,0.72489,0.36614,0.91038,0.90331,0.86571,0.93662,0.69601,0.91565,0.88017,0.94559,0.57931,0.93307,1.1819,0.55425,1.10407,0.000431256,0.000431256,0.000431256
42,749.882,0.53891,0.73555,0.36451,0.91039,0.86921,0.90154,0.92962,0.66653,0.87167,0.90479,0.93014,0.55056,0.98586,1.24219,0.59699,1.17286,0.000424187,0.000424187,0.000424187
43,767.607,0.52302,0.70347,0.35734,0.90524,0.89783,0.89189,0.93931,0.70118,0.90171,0.89575,0.94131,0.56682,0.92339,1.21266,0.55352,1.11798,0.000417119,0.000417119,0.000417119
44,785.173,0.51553,0.7185,0.35808,0.90392,0.89163,0.89768,0.93052,0.67483,0.89974,0.90541,0.94243,0.5585,0.96694,1.24703,0.55589,1.12429,0.00041005,0.00041005,0.00041005
45,802.736,0.51537,0.68305,0.35033,0.89973,0.90464,0.86074,0.93316,0.69684,0.90876,0.8668,0.93177,0.57635,0.92857,1.20185,0.55396,1.10264,0.000402982,0.000402982,0.000402982
