epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.829,1.23158,2.00653,2.14349,1.25337,0.78183,0.761,0.78803,0.46088,0.79571,0.77451,0.79228,0.38743,1.29684,1.53073,1.52023,1.31436,0.0702,0.00331111,0.00331111
2,39.691,1.08939,1.49156,1.14096,1.10918,0.80684,0.70155,0.78218,0.48987,0.78206,0.7066,0.77436,0.37457,1.17613,1.51617,1.32324,1.273,0.0401342,0.00657866,0.00657866
3,57.5711,1.11157,1.49185,1.02032,1.1211,0.71703,0.78958,0.75374,0.43287,0.72292,0.76641,0.7435,0.34738,1.32172,1.64148,1.60487,1.36508,0.0100024,0.00978022,0.00978022
4,75.0401,1.1128,1.4437,0.99742,1.12568,0.55078,0.41895,0.41672,0.20427,0.49758,0.31853,0.27636,0.09974,1.85575,3.29629,1.95757,1.84642,0.009703,0.009703,0.009703
5,92.5636,1.0682,1.38321,0.9148,1.11329,0.79565,0.75163,0.79598,0.48703,0.77366,0.72394,0.74573,0.33111,1.29896,1.85478,1.12321,1.35304,0.009604,0.009604,0.009604
6,110.065,1.03057,1.31306,0.83039,1.08648,0.8248,0.79923,0.83821,0.5147,0.81635,0.79344,0.82062,0.40295,1.28224,1.75082,1.00768,1.34635,0.009505,0.009505,0.009505
7,127.492,0.97152,1.25069,0.78937,1.06477,0.78849,0.83398,0.83636,0.53308,0.78667,0.83205,0.83669,0.44249,1.19769,1.44971,1.11423,1.28545,0.009406,0.009406,0.009406
8,144.85,0.93685,1.21347,0.73376,1.05458,0.82878,0.82234,0.86541,0.5561,0.82421,0.80116,0.84779,0.45147,1.18861,1.43242,0.97237,1.30737,0.009307,0.009307,0.009307
9,162.289,0.90391,1.18043,0.69869,1.03444,0.84815,0.83029,0.85595,0.56733,0.86479,0.82725,0.86949,0.46435,1.14879,1.43467,0.93836,1.26313,0.009208,0.009208,0.009208
10,180.018,0.88123,1.1616,0.66571,1.02847,0.86819,0.82819,0.88105,0.59391,0.8868,0.81664,0.88089,0.45908,1.12202,1.48626,0.79325,1.26197,0.009109,0.009109,0.009109
11,197.599,0.86669,1.16204,0.66786,1.02486,0.84308,0.83591,0.85977,0.56081,0.84892,0.8417,0.86821,0.47734,1.16575,1.42098,0.82723,1.28363,0.00901,0.00901,0.00901
12,215.182,0.84052,1.099,0.61956,1.0103,0.82867,0.82625,0.84289,0.55066,0.83966,0.8417,0.85569,0.43982,1.15839,1.49278,0.90982,1.2605,0.008911,0.008911,0.008911
13,232.492,0.8128,1.07709,0.59972,0.99802,0.86439,0.83591,0.87344,0.59457,0.87955,0.81764,0.8707,0.47529,1.08075,1.45842,0.83796,1.216,0.008812,0.008812,0.008812
14,249.978,0.78548,1.04028,0.5878,0.99574,0.87167,0.82612,0.88502,0.60646,0.87741,0.83012,0.88431,0.49817,1.09304,1.41739,0.755,1.2312,0.008713,0.008713,0.008713
15,267.429,0.77328,1.02428,0.56986,0.98919,0.88173,0.82819,0.87301,0.58803,0.8903,0.82819,0.87828,0.48936,1.09767,1.37538,0.90098,1.22748,0.008614,0.008614,0.008614
16,284.792,0.77918,1.03335,0.56064,0.98918,0.87653,0.7949,0.87516,0.61891,0.87617,0.79223,0.87492,0.49497,1.05961,1.40506,0.76447,1.21461,0.008515,0.008515,0.008515
17,302.288,0.75836,0.99502,0.55126,0.98006,0.87428,0.80547,0.88708,0.62311,0.8605,0.82165,0.8746,0.4991,1.0532,1.33335,0.75895,1.21087,0.008416,0.008416,0.008416
18,319.727,0.76605,0.98105,0.54259,0.98167,0.86633,0.85521,0.89762,0.62041,0.86828,0.85714,0.89937,0.50763,1.03083,1.29628,0.74877,1.18202,0.008317,0.008317,0.008317
19,337.081,0.72573,0.97393,0.51346,0.96961,0.89307,0.84363,0.89703,0.63487,0.88544,0.83591,0.88729,0.51369,0.99312,1.27525,0.73047,1.14463,0.008218,0.008218,0.008218
20,354.632,0.73641,0.965,0.51521,0.97705,0.88307,0.84557,0.90511,0.61935,0.87026,0.86758,0.907,0.50165,1.04277,1.35176,0.69187,1.17891,0.008119,0.008119,0.008119
21,372.147,0.7139,0.95683,0.51011,0.96632,0.88365,0.8504,0.90124,0.63754,0.89029,0.84597,0.90393,0.51411,1.00801,1.28801,0.72939,1.16196,0.00802,0.00802,0.00802
22,389.696,0.71882,0.94859,0.50371,0.97106,0.83412,0.85907,0.87701,0.60978,0.83073,0.86217,0.8743,0.49859,1.02668,1.29606,0.71947,1.20005,0.007921,0.007921,0.007921
23,407.193,0.68672,0.91302,0.4883,0.9639,0.88062,0.86873,0.91771,0.64568,0.90351,0.86773,0.93184,0.53608,1.00252,1.26485,0.66391,1.16732,0.007822,0.007822,0.007822
24,424.697,0.67576,0.8864,0.47855,0.95571,0.87124,0.85135,0.90391,0.64186,0.87379,0.84201,0.90714,0.5176,1.01187,1.33952,0.67759,1.16453,0.007723,0.007723,0.007723
25,442.019,0.70271,0.93109,0.49465,0.96328,0.86571,0.88357,0.89607,0.62493,0.87773,0.87306,0.90501,0.52098,1.03304,1.26291,0.74288,1.18392,0.007624,0.007624,0.007624
26,459.379,0.67028,0.88801,0.47793,0.95251,0.90894,0.86716,0.91752,0.65456,0.91299,0.87102,0.92512,0.54218,0.97857,1.29743,0.65199,1.17264,0.007525,0.007525,0.007525
27,476.917,0.65607,0.87141,0.46282,0.94415,0.88745,0.87645,0.91705,0.64294,0.88467,0.8737,0.91362,0.52431,1.02308,1.28619,0.65721,1.20161,0.007426,0.007426,0.007426
28,494.341,0.65025,0.86448,0.45871,0.94953,0.88035,0.88065,0.92179,0.65767,0.89676,0.8668,0.92721,0.54078,0.98682,1.25535,0.61632,1.14507,0.007327,0.007327,0.007327
29,511.843,0.64666,0.85195,0.45071,0.94968,0.87165,0.87843,0.91172,0.6568,0.87377,0.89189,0.91602,0.53606,0.98603,1.28969,0.63121,1.16746,0.007228,0.007228,0.007228
30,529.188,0.65256,0.85645,0.45483,0.94573,0.91868,0.85135,0.90161,0.64107,0.93028,0.85005,0.90624,0.51748,0.97998,1.28938,0.74725,1.15806,0.007129,0.007129,0.007129
31,546.548,0.64105,0.85245,0.45445,0.9466,0.9016,0.87259,0.9158,0.66179,0.88194,0.90541,0.92724,0.551,0.98131,1.2328,0.61928,1.14667,0.00703,0.00703,0.00703
32,564.094,0.63642,0.85965,0.44149,0.94371,0.8777,0.84513,0.90235,0.65356,0.87883,0.84556,0.9043,0.52426,0.95218,1.25929,0.65259,1.14146,0.006931,0.006931,0.006931
33,581.439,0.62548,0.83398,0.43868,0.93812,0.89479,0.8702,0.92124,0.66226,0.90322,0.88279,0.93023,0.54255,0.97645,1.27511,0.58822,1.15344,0.006832,0.006832,0.006832
34,598.914,0.60351,0.80395,0.42407,0.9285,0.87984,0.87838,0.92526,0.66075,0.88365,0.87966,0.92402,0.53376,0.96653,1.27471,0.61972,1.14359,0.006733,0.006733,0.006733
35,616.239,0.61694,0.79918,0.43103,0.93606,0.89151,0.88031,0.91995,0.66355,0.89346,0.88224,0.92777,0.54972,0.97489,1.22894,0.62419,1.15702,0.006634,0.006634,0.006634
36,633.827,0.59696,0.79464,0.41505,0.92889,0.91488,0.85071,0.91612,0.6621,0.9227,0.85259,0.91602,0.54217,0.9917,1.28808,0.63606,1.17098,0.006535,0.006535,0.006535
37,651.356,0.60405,0.80577,0.41995,0.93067,0.8905,0.87066,0.91786,0.65352,0.89497,0.87185,0.91881,0.5342,1.00098,1.28347,0.63546,1.17966,0.006436,0.006436,0.006436
38,668.884,0.60184,0.79039,0.41837,0.93245,0.89979,0.884,0.92181,0.665,0.89063,0.89608,0.92572,0.54344,0.97877,1.25127,0.60841,1.15786,0.006337,0.006337,0.006337
39,686.27,0.59029,0.76182,0.41116,0.93398,0.87744,0.88456,0.91733,0.67449,0.87936,0.88649,0.92098,0.54492,0.95342,1.2597,0.58449,1.15625,0.006238,0.006238,0.006238
40,703.663,0.57714,0.76302,0.40761,0.92884,0.91011,0.87066,0.92269,0.68021,0.92058,0.86486,0.92692,0.55287,0.95494,1.287,0.61392,1.14254,0.006139,0.006139,0.006139
41,721.21,0.58289,0.77167,0.4045,0.92412,0.89875,0.86873,0.9119,0.66212,0.90125,0.87259,0.92341,0.53834,0.96417,1.24036,0.6062,1.14449,0.00604,0.00604,0.00604
