epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.7649,1.25329,1.8416,1.63174,1.27958,0.77987,0.78653,0.80279,0.50695,0.76935,0.77992,0.78511,0.39603,1.21151,1.59772,1.05862,1.32504,0.000236413,0.000236413,0.000236413
2,45.8486,1.20187,1.54242,1.00142,1.20963,0.74868,0.74187,0.79969,0.52354,0.76993,0.71815,0.79219,0.40091,1.20946,1.49417,1.51,1.35537,0.000469717,0.000469717,0.000469717
3,67.1193,1.21403,1.53795,0.96798,1.22318,0.63852,0.71622,0.71134,0.45731,0.63352,0.69748,0.69144,0.35332,1.21024,1.49872,1.36929,1.33617,0.000698308,0.000698308,0.000698308
4,87.8016,1.19006,1.46224,0.9375,1.21031,0.72741,0.80309,0.78711,0.50701,0.72041,0.79537,0.78828,0.39265,1.17497,1.4862,0.98169,1.29374,0.000692794,0.000692794,0.000692794
5,108.344,1.16624,1.47868,0.86416,1.19393,0.85759,0.83591,0.8769,0.60013,0.85759,0.83591,0.87206,0.48109,1.09803,1.4127,0.88551,1.22447,0.000685726,0.000685726,0.000685726
6,129.269,1.11371,1.44993,0.83581,1.17172,0.84699,0.8656,0.90576,0.62713,0.85541,0.84513,0.90277,0.52687,1.07713,1.26748,0.75768,1.19813,0.000678657,0.000678657,0.000678657
7,150.334,1.09014,1.40636,0.80106,1.15378,0.8386,0.8526,0.89423,0.61949,0.8334,0.84556,0.88182,0.49166,1.07241,1.35627,0.82624,1.19186,0.000671588,0.000671588,0.000671588
8,170.888,1.10464,1.4353,0.79724,1.15947,0.84339,0.79151,0.87007,0.58773,0.86411,0.80309,0.88663,0.50295,1.13714,1.30692,0.81089,1.25704,0.00066452,0.00066452,0.00066452
9,191.394,1.06294,1.37128,0.78605,1.14047,0.83662,0.80074,0.86519,0.59588,0.84872,0.81233,0.87809,0.49759,1.12672,1.29286,0.84987,1.24624,0.000657451,0.000657451,0.000657451
10,212.19,1.0697,1.39896,0.75942,1.14253,0.85709,0.7873,0.88245,0.60452,0.86326,0.79221,0.88386,0.49895,1.08568,1.24613,0.80359,1.20766,0.000650383,0.000650383,0.000650383
11,232.829,1.05507,1.37003,0.73303,1.14386,0.88493,0.84625,0.90615,0.63979,0.89088,0.83398,0.89982,0.5131,1.03788,1.26212,0.73739,1.19753,0.000643314,0.000643314,0.000643314
12,253.482,1.03658,1.32858,0.71134,1.12228,0.87129,0.84942,0.91671,0.66291,0.86817,0.85328,0.91829,0.55467,1.00844,1.2059,0.6701,1.16031,0.000636245,0.000636245,0.000636245
13,274.48,1.01581,1.35283,0.71351,1.10581,0.85921,0.861,0.91313,0.65855,0.86691,0.86873,0.92003,0.54636,1.02678,1.26687,0.67136,1.14971,0.000629177,0.000629177,0.000629177
14,295.182,1.02637,1.32088,0.69256,1.12009,0.88343,0.90154,0.93119,0.67471,0.88483,0.90477,0.94038,0.56894,1.00961,1.18941,0.61168,1.16574,0.000622108,0.000622108,0.000622108
15,316.39,1.00177,1.30303,0.67634,1.11807,0.86836,0.83784,0.90614,0.63528,0.88436,0.85328,0.91471,0.53465,1.0416,1.23782,0.69233,1.1971,0.00061504,0.00061504,0.00061504
16,337.263,1.01061,1.32415,0.66968,1.10904,0.84914,0.84758,0.90849,0.62237,0.87042,0.85588,0.91452,0.55389,1.10518,1.18212,0.69186,1.22283,0.000607971,0.000607971,0.000607971
17,358.023,1.00248,1.29106,0.68608,1.11169,0.89143,0.85135,0.91592,0.65956,0.90153,0.861,0.9338,0.54964,1.00196,1.17344,0.68031,1.148,0.000600902,0.000600902,0.000600902
18,378.905,0.99011,1.2919,0.66965,1.09315,0.89137,0.85545,0.93061,0.68598,0.90716,0.85907,0.92634,0.5659,0.9549,1.17676,0.61543,1.11943,0.000593834,0.000593834,0.000593834
19,400.012,0.97712,1.29136,0.65962,1.08871,0.87571,0.83977,0.91365,0.64698,0.86879,0.84369,0.90968,0.54142,1.01765,1.18167,0.69625,1.1741,0.000586765,0.000586765,0.000586765
20,420.69,0.98763,1.25367,0.65108,1.09681,0.90669,0.86873,0.92994,0.674,0.90467,0.8668,0.93108,0.5694,0.9896,1.17121,0.61276,1.13499,0.000579697,0.000579697,0.000579697
21,441.338,0.96794,1.27824,0.65308,1.09095,0.89977,0.88996,0.9287,0.66614,0.88806,0.87838,0.91498,0.55687,0.99028,1.18382,0.71015,1.12935,0.000572628,0.000572628,0.000572628
22,462.086,0.95501,1.27587,0.6212,1.06984,0.89634,0.868,0.93475,0.68389,0.90311,0.86293,0.93457,0.56163,0.98261,1.19663,0.5987,1.1371,0.000565559,0.000565559,0.000565559
23,482.733,0.96175,1.30648,0.6334,1.09187,0.87905,0.88392,0.92285,0.6776,0.89959,0.8861,0.93851,0.56164,0.97251,1.15423,0.61209,1.14396,0.000558491,0.000558491,0.000558491
24,503.507,0.95923,1.22972,0.62098,1.08232,0.90026,0.85382,0.93214,0.68978,0.90456,0.85994,0.93308,0.58423,0.94442,1.14558,0.59116,1.11152,0.000551422,0.000551422,0.000551422
25,524.408,0.96632,1.28121,0.62725,1.0772,0.91252,0.88602,0.9384,0.68308,0.91212,0.88168,0.93512,0.56347,0.96108,1.2299,0.6006,1.11651,0.000544354,0.000544354,0.000544354
26,545.166,0.94929,1.24805,0.62141,1.07557,0.92053,0.87066,0.93458,0.69061,0.93293,0.85929,0.93643,0.56847,0.94533,1.15957,0.59654,1.12749,0.000537285,0.000537285,0.000537285
27,565.763,0.93999,1.23251,0.61279,1.06437,0.89528,0.89125,0.92986,0.69084,0.90562,0.89961,0.93621,0.55604,0.92387,1.15724,0.57607,1.10481,0.000530216,0.000530216,0.000530216
28,586.302,0.95406,1.26599,0.61172,1.07009,0.89379,0.87726,0.93932,0.688,0.90912,0.87838,0.94107,0.57448,0.97837,1.16267,0.58533,1.1426,0.000523148,0.000523148,0.000523148
29,606.939,0.9496,1.25159,0.60523,1.07679,0.92128,0.90541,0.94832,0.70723,0.92128,0.90541,0.94772,0.60431,0.91905,1.10166,0.53742,1.10916,0.000516079,0.000516079,0.000516079
30,628.044,0.92068,1.2236,0.58067,1.05825,0.86935,0.90154,0.92212,0.66653,0.87318,0.89961,0.92489,0.55162,0.99463,1.1671,0.6179,1.15339,0.000509011,0.000509011,0.000509011
31,648.803,0.94099,1.24852,0.59889,1.07254,0.90775,0.89287,0.94044,0.69552,0.91157,0.89382,0.94617,0.58757,0.92007,1.09553,0.56537,1.09888,0.000501942,0.000501942,0.000501942
32,669.57,0.93357,1.27289,0.59379,1.05346,0.9,0.90541,0.94283,0.70476,0.89617,0.90154,0.93721,0.58067,0.93428,1.1397,0.55994,1.10798,0.000494873,0.000494873,0.000494873
