epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.2105,0.70916,1.0676,0.39161,0.94969,0.94737,0.88803,0.9481,0.75219,0.93846,0.90347,0.95142,0.63367,0.85655,1.11956,0.52579,1.084,0.000231737,0.000231737,0.000231737
2,34.1609,0.74618,1.07455,0.42168,0.95878,0.93104,0.88803,0.93618,0.71398,0.93104,0.88803,0.93827,0.59126,0.93967,1.15134,0.54351,1.14711,0.000465086,0.000465086,0.000465086
3,50.5693,0.81476,1.12607,0.47561,0.99463,0.89444,0.86698,0.91295,0.66972,0.89843,0.87084,0.91681,0.55541,0.9524,1.2144,0.60493,1.16165,0.000693724,0.000693724,0.000693724
4,66.9832,0.84579,1.16953,0.50912,1.01131,0.88122,0.90347,0.92898,0.66114,0.91057,0.88455,0.93132,0.53887,1.02392,1.42589,0.59882,1.17811,0.000692794,0.000692794,0.000692794
5,83.4133,0.88374,1.19525,0.53506,1.02525,0.92744,0.88996,0.94578,0.70437,0.93549,0.89768,0.95049,0.56852,0.93816,1.21221,0.52255,1.13408,0.000685726,0.000685726,0.000685726
6,99.7387,0.86235,1.15013,0.52096,1.01706,0.91068,0.88417,0.91992,0.6715,0.91727,0.88996,0.91966,0.53772,0.99673,1.24774,0.58498,1.16963,0.000678657,0.000678657,0.000678657
7,116.091,0.85673,1.17685,0.52362,1.01445,0.91272,0.84787,0.91977,0.68578,0.87434,0.9,0.92501,0.54827,0.9612,1.21326,0.58667,1.14543,0.000671588,0.000671588,0.000671588
8,132.427,0.86097,1.18782,0.52779,1.01698,0.92887,0.88996,0.93923,0.69411,0.92887,0.88996,0.93739,0.57759,0.9255,1.1444,0.60747,1.10357,0.00066452,0.00066452,0.00066452
9,148.85,0.85621,1.15185,0.52005,1.01247,0.88724,0.89624,0.93287,0.6848,0.8971,0.89961,0.93711,0.58533,0.97598,1.13873,0.55582,1.15322,0.000657451,0.000657451,0.000657451
10,165.327,0.82757,1.14448,0.52041,1.00216,0.93024,0.8238,0.86321,0.61221,0.93519,0.82819,0.87273,0.52888,1.04129,1.14965,1.03727,1.23832,0.000650383,0.000650383,0.000650383
11,181.712,0.84175,1.1587,0.51227,1.01909,0.89238,0.86873,0.91866,0.68484,0.89238,0.86873,0.92759,0.55927,0.97977,1.29557,0.59258,1.14349,0.000643314,0.000643314,0.000643314
12,198.098,0.83846,1.14422,0.51207,1.01338,0.92789,0.88031,0.93372,0.69772,0.93527,0.88417,0.94124,0.58673,0.92979,1.11699,0.55499,1.11595,0.000636245,0.000636245,0.000636245
