epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.4362,1.25585,1.98623,2.04016,1.26671,0.83017,0.81157,0.87649,0.56684,0.80418,0.82625,0.86915,0.48293,1.09385,1.35382,1.5382,1.19834,0.000236413,0.000236413,0.000236413
2,91.6534,1.15848,1.5205,1.28826,1.16092,0.79593,0.77606,0.83694,0.55065,0.78801,0.76834,0.8308,0.43904,1.13283,1.45257,1.19765,1.21702,0.000469717,0.000469717,0.000469717
3,134.815,1.15932,1.50956,1.15156,1.16464,0.79179,0.86873,0.87386,0.57651,0.7889,0.85131,0.85859,0.46208,1.11745,1.43346,1.15141,1.23225,0.000698308,0.000698308,0.000698308
4,172.991,1.14632,1.44647,1.05614,1.16515,0.82157,0.83784,0.87419,0.56546,0.82281,0.82473,0.85866,0.45448,1.16606,1.52445,1.07609,1.2512,0.000692794,0.000692794,0.000692794
5,214.02,1.14165,1.44944,0.95453,1.15616,0.83261,0.86421,0.86234,0.57766,0.82873,0.84942,0.85448,0.45668,1.1236,1.31867,0.88,1.19737,0.000685726,0.000685726,0.000685726
6,257.718,1.10383,1.43024,0.88406,1.14048,0.8796,0.81804,0.89737,0.60988,0.88367,0.82124,0.88977,0.51118,1.11308,1.2693,0.80882,1.20753,0.000678657,0.000678657,0.000678657
7,299.701,1.08132,1.39751,0.84572,1.12135,0.84045,0.84942,0.9068,0.63828,0.8785,0.85135,0.91528,0.52811,1.01917,1.22916,0.73397,1.13637,0.000671588,0.000671588,0.000671588
8,336.963,1.0823,1.3925,0.85094,1.12962,0.86521,0.85714,0.91264,0.61896,0.86875,0.85611,0.91778,0.51777,1.06772,1.23693,0.76001,1.17382,0.00066452,0.00066452,0.00066452
9,378.124,1.053,1.37815,0.81376,1.10695,0.84636,0.84011,0.89242,0.6423,0.8303,0.85952,0.90456,0.52287,1.01387,1.27154,0.75434,1.14776,0.000657451,0.000657451,0.000657451
10,420.707,1.06176,1.38552,0.79621,1.11821,0.86684,0.89961,0.91847,0.63758,0.89195,0.89239,0.92981,0.50284,1.04007,1.27264,0.77052,1.15524,0.000650383,0.000650383,0.000650383
11,463.924,1.04086,1.37123,0.7556,1.1125,0.86781,0.87645,0.92455,0.65929,0.90086,0.82625,0.91793,0.5298,0.98234,1.24022,0.69206,1.13587,0.000643314,0.000643314,0.000643314
12,497.446,1.0162,1.31225,0.72842,1.09247,0.87363,0.88087,0.92939,0.67374,0.87941,0.88691,0.93504,0.55541,0.97935,1.1777,0.67555,1.11607,0.000636245,0.000636245,0.000636245
13,537.495,1.01592,1.34518,0.73545,1.09197,0.86786,0.89575,0.92308,0.66399,0.86487,0.89189,0.92182,0.54322,0.99527,1.24361,0.64467,1.12696,0.000629177,0.000629177,0.000629177
14,580.53,1.01561,1.3291,0.72177,1.09758,0.88198,0.89382,0.9294,0.66011,0.8908,0.90347,0.93433,0.53436,1.00729,1.20028,0.63303,1.13557,0.000622108,0.000622108,0.000622108
15,624.425,0.9992,1.31353,0.69737,1.09679,0.83495,0.91802,0.9142,0.67011,0.83464,0.91597,0.91638,0.54091,0.94662,1.18457,0.64086,1.11381,0.00061504,0.00061504,0.00061504
16,658.733,1.01921,1.3341,0.70002,1.09878,0.86452,0.88698,0.91289,0.65492,0.85777,0.89647,0.9224,0.55987,0.98148,1.15442,0.66481,1.10828,0.000607971,0.000607971,0.000607971
17,698.448,1.00557,1.29669,0.70919,1.0963,0.89945,0.88996,0.9369,0.67771,0.91456,0.89768,0.94433,0.57983,0.98444,1.13076,0.60933,1.12048,0.000600902,0.000600902,0.000600902
18,741.403,0.99107,1.29304,0.68482,1.0817,0.90753,0.88031,0.94089,0.68851,0.90588,0.87838,0.93262,0.54662,0.95919,1.21292,0.6107,1.10767,0.000593834,0.000593834,0.000593834
19,784.317,0.98061,1.28737,0.67582,1.07882,0.87815,0.87838,0.93275,0.68348,0.86562,0.86486,0.92212,0.57102,0.95113,1.15506,0.63632,1.09993,0.000586765,0.000586765,0.000586765
20,819.149,0.98944,1.27254,0.66924,1.08155,0.89455,0.86873,0.93924,0.68001,0.85598,0.89494,0.93321,0.56635,0.94699,1.18697,0.60701,1.10312,0.000579697,0.000579697,0.000579697
21,859.541,0.97282,1.28475,0.66175,1.07555,0.87777,0.89768,0.92572,0.66703,0.88154,0.90154,0.93277,0.55963,0.97599,1.14073,0.65599,1.12137,0.000572628,0.000572628,0.000572628
22,902.741,0.9502,1.2733,0.63583,1.05664,0.87906,0.90927,0.94029,0.69389,0.87767,0.91313,0.94674,0.57031,0.94687,1.16104,0.59018,1.09946,0.000565559,0.000565559,0.000565559
23,946.636,0.95173,1.29103,0.64159,1.07298,0.88818,0.90472,0.94005,0.6891,0.89187,0.90759,0.95008,0.57916,0.92722,1.13657,0.59731,1.08834,0.000558491,0.000558491,0.000558491
24,980.24,0.9688,1.22947,0.63944,1.07434,0.89893,0.90154,0.94413,0.69724,0.90663,0.90927,0.94923,0.58802,0.96181,1.12335,0.5719,1.0873,0.000551422,0.000551422,0.000551422
25,1020.09,0.96129,1.29328,0.64513,1.06008,0.92583,0.89167,0.94631,0.69559,0.92668,0.89382,0.94097,0.57606,0.94182,1.17813,0.57246,1.10019,0.000544354,0.000544354,0.000544354
26,1062.81,0.94989,1.26779,0.63177,1.06086,0.92178,0.85714,0.93306,0.67652,0.92178,0.85714,0.93336,0.57075,0.95759,1.12487,0.60445,1.09337,0.000537285,0.000537285,0.000537285
27,1105.98,0.93548,1.24322,0.62022,1.04965,0.92079,0.87838,0.93716,0.69954,0.92686,0.88417,0.94402,0.57387,0.93304,1.1605,0.5756,1.08097,0.000530216,0.000530216,0.000530216
28,1142.54,0.96477,1.26808,0.63416,1.05767,0.88661,0.90927,0.93703,0.68987,0.89878,0.90853,0.9455,0.58827,0.92893,1.11737,0.57575,1.06957,0.000523148,0.000523148,0.000523148
29,1311.08,0.95599,1.26346,0.62677,1.0608,0.90489,0.89995,0.94271,0.70936,0.90673,0.90089,0.94765,0.57595,0.92901,1.14073,0.5547,1.09123,0.000516079,0.000516079,0.000516079
30,1354.41,0.93362,1.23898,0.61026,1.05599,0.88765,0.88996,0.93454,0.69744,0.90427,0.89356,0.94062,0.57511,0.93539,1.11847,0.56588,1.08158,0.000509011,0.000509011,0.000509011
31,1392.04,0.94236,1.26348,0.61034,1.06807,0.91997,0.89768,0.9416,0.70533,0.92668,0.90278,0.94883,0.59227,0.92233,1.12098,0.56156,1.08157,0.000501942,0.000501942,0.000501942
32,1431.56,0.93365,1.28349,0.61079,1.04463,0.91278,0.90909,0.94423,0.7123,0.92033,0.9112,0.95236,0.58714,0.91438,1.13718,0.53633,1.0874,0.000494873,0.000494873,0.000494873
33,1474.94,0.93163,1.2406,0.58742,1.05628,0.91182,0.88224,0.93998,0.6965,0.91561,0.90068,0.95393,0.5743,0.92938,1.15359,0.55588,1.07141,0.000487805,0.000487805,0.000487805
34,1518.07,0.91327,1.19715,0.58619,1.04943,0.88321,0.91506,0.94313,0.70863,0.9014,0.90927,0.94632,0.58942,0.90802,1.1021,0.55861,1.06396,0.000480736,0.000480736,0.000480736
35,1553.55,0.91537,1.23069,0.59596,1.04766,0.93391,0.87301,0.93666,0.70588,0.93804,0.87687,0.95243,0.5834,0.93748,1.11165,0.58036,1.09152,0.000473668,0.000473668,0.000473668
36,1592.64,0.92446,1.23752,0.59343,1.05003,0.92718,0.88482,0.94726,0.70726,0.93122,0.88868,0.95611,0.58501,0.91426,1.10229,0.5394,1.07407,0.000466599,0.000466599,0.000466599
37,1635.42,0.91155,1.20167,0.584,1.04076,0.91903,0.92664,0.95901,0.72051,0.9152,0.92278,0.95356,0.60322,0.89613,1.10982,0.51576,1.06132,0.00045953,0.00045953,0.00045953
38,1678.62,0.91718,1.22802,0.57895,1.05014,0.93708,0.89768,0.94594,0.71511,0.92845,0.90181,0.94547,0.59049,0.90516,1.12739,0.53013,1.07306,0.000452462,0.000452462,0.000452462
39,1714.54,0.90474,1.19367,0.58378,1.04553,0.92,0.91027,0.94453,0.71596,0.92772,0.91699,0.9585,0.59513,0.88863,1.10485,0.53092,1.06483,0.000445393,0.000445393,0.000445393
40,1754.97,0.90032,1.22143,0.57833,1.04208,0.92264,0.88417,0.94539,0.71764,0.92868,0.88996,0.95228,0.59818,0.89876,1.09028,0.52931,1.06302,0.000438325,0.000438325,0.000438325
41,1798.65,0.89254,1.1886,0.56975,1.04052,0.90709,0.90472,0.93737,0.70648,0.91652,0.9112,0.95205,0.59668,0.91455,1.09894,0.58675,1.07792,0.000431256,0.000431256,0.000431256
42,1841.9,0.91539,1.2314,0.58061,1.03965,0.92868,0.90498,0.9447,0.71874,0.93241,0.90553,0.95329,0.59494,0.89576,1.08803,0.52138,1.05472,0.000424187,0.000424187,0.000424187
43,1875.43,0.89902,1.20841,0.55182,1.04489,0.91232,0.92399,0.94665,0.72536,0.92182,0.93331,0.95788,0.59859,0.87897,1.09477,0.50771,1.05884,0.000417119,0.000417119,0.000417119
44,1915.55,0.88152,1.19595,0.55058,1.03076,0.90692,0.9405,0.94547,0.71852,0.9089,0.94208,0.9541,0.59453,0.89663,1.11521,0.51834,1.06444,0.00041005,0.00041005,0.00041005
