epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.0912,1.31055,2.35299,2.57483,1.35497,0.84323,0.48805,0.71708,0.43724,0.80321,0.46488,0.65877,0.29822,1.16175,1.66285,2.6601,1.31976,0.000231737,0.000231737,0.000231737
2,42.1461,1.10681,1.46952,1.36322,1.11766,0.85357,0.66393,0.82236,0.53119,0.82875,0.64462,0.79185,0.39418,1.13998,1.7898,2.12348,1.25934,0.000465086,0.000465086,0.000465086
3,70.0366,1.14214,1.49514,1.2107,1.14465,0.83568,0.74617,0.8567,0.53907,0.79694,0.72201,0.7874,0.36549,1.1867,2.25227,1.4661,1.32025,0.000693724,0.000693724,0.000693724
4,91.0305,1.12304,1.48162,1.09114,1.14441,0.6954,0.57529,0.61073,0.3517,0.70719,0.57349,0.6148,0.28247,1.40645,2.12358,1.74454,1.50755,0.000692794,0.000692794,0.000692794
5,118.958,1.13003,1.45803,1.00347,1.1331,0.80204,0.81345,0.85756,0.57778,0.79272,0.79151,0.82691,0.43586,1.0912,1.56104,1.09129,1.21883,0.000685726,0.000685726,0.000685726
6,139.697,1.08465,1.38211,0.90308,1.11406,0.78849,0.84556,0.88161,0.58754,0.77591,0.83554,0.85337,0.44243,1.13714,1.48493,1.17335,1.21248,0.000678657,0.000678657,0.000678657
7,166.15,1.06431,1.40413,0.85096,1.10346,0.82835,0.86641,0.88025,0.60045,0.8273,0.85135,0.87121,0.49439,1.07765,1.29693,0.99303,1.18253,0.000671588,0.000671588,0.000671588
8,188.829,1.06225,1.37776,0.80919,1.10438,0.8262,0.86873,0.89058,0.61003,0.82642,0.8668,0.88587,0.49093,1.05905,1.34722,1.15268,1.18234,0.00066452,0.00066452,0.00066452
9,209.579,1.05425,1.3502,0.80075,1.10136,0.78662,0.85714,0.87092,0.61831,0.78237,0.85363,0.8576,0.48379,1.02873,1.27405,0.80739,1.15981,0.000657451,0.000657451,0.000657451
10,236.276,1.01477,1.33816,0.76005,1.08956,0.82975,0.82796,0.87405,0.58919,0.83474,0.83012,0.87223,0.48161,1.09281,1.3022,0.82876,1.20163,0.000650383,0.000650383,0.000650383
11,257.015,1.02902,1.35014,0.7556,1.1052,0.83336,0.83993,0.88493,0.60971,0.81883,0.85714,0.88643,0.50909,1.0981,1.27227,0.81839,1.1856,0.000643314,0.000643314,0.000643314
12,284.285,1.0229,1.3067,0.73324,1.09476,0.8575,0.79923,0.8868,0.60945,0.85543,0.7973,0.88396,0.51173,1.05871,1.31108,0.91323,1.18756,0.000636245,0.000636245,0.000636245
13,304.939,1.00717,1.30269,0.71233,1.08504,0.82035,0.8463,0.89309,0.62858,0.81384,0.85521,0.88522,0.49605,1.03641,1.26363,0.81545,1.14969,0.000629177,0.000629177,0.000629177
14,331.721,1.00029,1.29182,0.71029,1.08271,0.87765,0.88628,0.9329,0.675,0.89472,0.86952,0.93367,0.56153,0.95459,1.20599,0.65757,1.10933,0.000622108,0.000622108,0.000622108
15,351.668,0.9803,1.29368,0.68225,1.08161,0.86675,0.87259,0.92174,0.67019,0.86476,0.88877,0.92509,0.54538,0.96101,1.208,0.63705,1.12198,0.00061504,0.00061504,0.00061504
16,372.67,0.9926,1.28195,0.67114,1.07834,0.82427,0.82432,0.85352,0.60841,0.83753,0.84587,0.88186,0.49838,1.03494,1.25024,0.79992,1.16245,0.000607971,0.000607971,0.000607971
17,399.449,0.99794,1.29098,0.67719,1.08273,0.86008,0.85714,0.90335,0.6471,0.8667,0.8661,0.91247,0.53277,1.01439,1.19053,0.74383,1.14075,0.000600902,0.000600902,0.000600902
18,419.872,0.96242,1.28697,0.66131,1.06212,0.90701,0.85907,0.91716,0.63981,0.91629,0.86635,0.91819,0.53427,1.04533,1.26037,0.66153,1.17432,0.000593834,0.000593834,0.000593834
19,446.41,1.01835,1.30887,0.6954,1.09385,0.87789,0.87436,0.91642,0.62815,0.8837,0.88016,0.91991,0.50269,1.08637,1.33968,0.69462,1.17453,0.000586765,0.000586765,0.000586765
20,466.996,0.95611,1.27081,0.64319,1.05816,0.87274,0.89768,0.93602,0.69142,0.87462,0.89961,0.94083,0.56719,0.93235,1.1607,0.63912,1.09197,0.000579697,0.000579697,0.000579697
21,493.455,0.95946,1.26003,0.64024,1.06304,0.88419,0.88996,0.92935,0.67792,0.8942,0.89743,0.94291,0.56005,0.96806,1.15565,0.62617,1.12724,0.000572628,0.000572628,0.000572628
22,510.575,0.93987,1.24913,0.63026,1.05607,0.8734,0.86572,0.91999,0.65769,0.87829,0.86368,0.9271,0.57414,1.00561,1.14031,0.63844,1.12407,0.000565559,0.000565559,0.000565559
23,531.385,0.95048,1.25122,0.61931,1.06048,0.87256,0.91205,0.93484,0.68065,0.87538,0.90734,0.93912,0.57881,0.9794,1.13559,0.61381,1.10015,0.000558491,0.000558491,0.000558491
24,558.504,0.94327,1.25817,0.63218,1.05835,0.89498,0.8861,0.93502,0.6903,0.90399,0.89382,0.94351,0.5691,0.94767,1.15031,0.58998,1.10148,0.000551422,0.000551422,0.000551422
25,579.334,0.94557,1.27203,0.62722,1.05892,0.86301,0.8861,0.91724,0.67093,0.87413,0.88482,0.91624,0.54717,0.98176,1.1911,0.65915,1.14005,0.000544354,0.000544354,0.000544354
26,606.572,0.93632,1.25377,0.61581,1.05665,0.877,0.88031,0.92994,0.66898,0.88084,0.88417,0.93028,0.56065,1.01041,1.24091,0.63305,1.1307,0.000537285,0.000537285,0.000537285
27,627.661,0.93478,1.236,0.60852,1.04745,0.89114,0.83759,0.90453,0.64715,0.91057,0.85714,0.92217,0.56432,1.03693,1.13508,0.67026,1.15838,0.000530216,0.000530216,0.000530216
28,654.639,0.93421,1.24374,0.6053,1.04963,0.90635,0.87817,0.93502,0.68757,0.92016,0.88994,0.93824,0.56767,0.96395,1.17908,0.58695,1.10881,0.000523148,0.000523148,0.000523148
29,672.139,0.91772,1.22207,0.58611,1.0489,0.93369,0.86984,0.93457,0.69872,0.93932,0.88224,0.94877,0.59293,0.91298,1.10432,0.57459,1.08574,0.000516079,0.000516079,0.000516079
30,692.924,0.91612,1.22033,0.5863,1.04408,0.91579,0.88031,0.94029,0.7,0.92955,0.87452,0.94059,0.58076,0.92991,1.12208,0.55949,1.09219,0.000509011,0.000509011,0.000509011
31,719.519,0.93214,1.22531,0.5916,1.04991,0.90609,0.89404,0.9384,0.68772,0.91,0.8979,0.94246,0.58364,0.94632,1.14041,0.55401,1.1065,0.000501942,0.000501942,0.000501942
32,740.544,0.9169,1.24124,0.58976,1.04531,0.90067,0.8861,0.94335,0.6896,0.89478,0.88031,0.93055,0.56532,0.95536,1.20711,0.59395,1.11337,0.000494873,0.000494873,0.000494873
33,767.326,0.90569,1.24908,0.58435,1.04472,0.90677,0.88417,0.93352,0.69961,0.91271,0.88996,0.93786,0.58296,0.91198,1.12705,0.56066,1.07871,0.000487805,0.000487805,0.000487805
34,788.371,0.91938,1.24741,0.58681,1.04201,0.89025,0.90154,0.93816,0.69959,0.90048,0.9112,0.9424,0.57853,0.94025,1.14046,0.62717,1.10209,0.000480736,0.000480736,0.000480736
35,814.916,0.8901,1.22416,0.5788,1.03117,0.88837,0.87575,0.91719,0.67132,0.89622,0.88358,0.92115,0.568,0.9633,1.11035,0.6165,1.12866,0.000473668,0.000473668,0.000473668
36,832.776,0.90239,1.20671,0.57109,1.04307,0.90916,0.90812,0.93514,0.69885,0.92011,0.91156,0.95127,0.59473,0.93446,1.10092,0.55532,1.08967,0.000466599,0.000466599,0.000466599
37,853.365,0.9076,1.20742,0.55842,1.03487,0.90749,0.89189,0.93077,0.6969,0.91119,0.90734,0.93736,0.58761,0.9306,1.11527,0.58253,1.09411,0.00045953,0.00045953,0.00045953
38,880.749,0.8873,1.21246,0.56711,1.03286,0.90283,0.89768,0.93892,0.70354,0.92525,0.9081,0.95672,0.5889,0.92541,1.12039,0.53667,1.08478,0.000452462,0.000452462,0.000452462
39,901.846,0.8826,1.20466,0.56749,1.02451,0.93149,0.88417,0.94428,0.71151,0.94166,0.89382,0.95141,0.5948,0.90627,1.11743,0.53685,1.06813,0.000445393,0.000445393,0.000445393
40,928.648,0.87088,1.17344,0.53801,1.0306,0.90848,0.88417,0.92988,0.70263,0.92257,0.89575,0.94585,0.57574,0.91751,1.13273,0.54947,1.08735,0.000438325,0.000438325,0.000438325
41,949.429,0.88113,1.18502,0.54885,1.02729,0.89509,0.90347,0.94344,0.70957,0.90957,0.91265,0.95667,0.60466,0.91661,1.08015,0.52258,1.07398,0.000431256,0.000431256,0.000431256
42,976.23,0.88384,1.20783,0.55164,1.02361,0.90719,0.90571,0.93935,0.70852,0.90525,0.90378,0.94114,0.58628,0.91333,1.15098,0.534,1.09432,0.000424187,0.000424187,0.000424187
43,993.362,0.8877,1.20669,0.5544,1.02733,0.91502,0.90347,0.93663,0.71052,0.92961,0.91789,0.95353,0.6002,0.88425,1.10619,0.52259,1.06425,0.000417119,0.000417119,0.000417119
44,1014.35,0.87141,1.19782,0.53238,1.01959,0.92442,0.89728,0.94023,0.71174,0.93039,0.90307,0.95503,0.61182,0.90085,1.08911,0.52088,1.0859,0.00041005,0.00041005,0.00041005
45,1041.37,0.86886,1.16568,0.5386,1.01494,0.89408,0.91255,0.93943,0.70686,0.89267,0.91892,0.93935,0.58813,0.89111,1.11933,0.54069,1.07172,0.000402982,0.000402982,0.000402982
46,1062.41,0.86709,1.16476,0.53043,1.01268,0.92541,0.91018,0.94621,0.71611,0.93462,0.91069,0.95126,0.59367,0.915,1.10961,0.51673,1.08425,0.000395913,0.000395913,0.000395913
47,1088.99,0.87146,1.19019,0.5268,1.0215,0.92013,0.88955,0.93773,0.69972,0.92811,0.89727,0.94913,0.59469,0.93214,1.11023,0.53994,1.09915,0.000388844,0.000388844,0.000388844
48,1109.72,0.8662,1.18291,0.53498,1.02285,0.91546,0.89896,0.94988,0.72954,0.94887,0.87838,0.95285,0.604,0.90334,1.10956,0.51919,1.07629,0.000381776,0.000381776,0.000381776
