epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.2545,1.37524,2.66839,3.04367,1.47182,0.00559,0.97104,0.23237,0.12199,0.00547,0.94981,0.23075,0.1009,1.07269,1.70978,2.81258,1.26241,0.0671828,0.000128488,0.000128488
2,31.1053,1.08951,1.66169,2.39233,1.15834,0.692,0.60723,0.65954,0.42693,0.6876,0.60337,0.65017,0.34113,1.10769,1.56749,2.22741,1.24058,0.0339769,0.000255929,0.000255929
3,45.0913,1.02075,1.49295,1.61504,1.11078,0.77922,0.70463,0.7552,0.50261,0.78012,0.69884,0.75126,0.4171,1.11051,1.4533,1.65399,1.22277,0.000768393,0.000380796,0.000380796
4,58.912,0.94409,1.36011,1.21297,1.04113,0.82752,0.83362,0.87251,0.61531,0.83121,0.8417,0.87828,0.49486,1.00688,1.34224,1.30635,1.12105,0.000378417,0.000378417,0.000378417
5,72.9237,0.89243,1.28263,1.05201,1.01028,0.85497,0.78526,0.84208,0.5778,0.85967,0.78958,0.84089,0.4841,1.03419,1.33096,1.2624,1.13842,0.000374556,0.000374556,0.000374556
6,86.8509,0.85558,1.23038,0.91236,1.00939,0.8463,0.85907,0.90178,0.63973,0.87523,0.83962,0.90748,0.5382,0.97935,1.23035,1.07462,1.09498,0.000370695,0.000370695,0.000370695
7,100.745,0.8218,1.18293,0.84656,0.98723,0.8559,0.86873,0.90403,0.6415,0.86188,0.87838,0.91148,0.53628,1.0023,1.28064,0.94381,1.13361,0.000366834,0.000366834,0.000366834
8,114.537,0.79871,1.15928,0.77018,0.97741,0.89198,0.87679,0.92457,0.66055,0.89552,0.87694,0.92283,0.54215,0.97627,1.26882,0.87055,1.10592,0.000362973,0.000362973,0.000362973
9,128.407,0.7829,1.13433,0.7477,0.97321,0.87883,0.86811,0.92132,0.65826,0.88217,0.86293,0.9179,0.54663,0.97783,1.24939,0.84332,1.10188,0.000359112,0.000359112,0.000359112
10,142.208,0.76389,1.10743,0.70645,0.96518,0.88413,0.82819,0.91352,0.65834,0.89238,0.83591,0.91639,0.54866,0.97404,1.23323,0.82072,1.10656,0.000355251,0.000355251,0.000355251
11,156.008,0.74881,1.10076,0.66934,0.973,0.86763,0.87838,0.92056,0.66436,0.89128,0.88628,0.92926,0.55265,0.96787,1.21227,0.77662,1.09776,0.00035139,0.00035139,0.00035139
12,169.746,0.72139,1.05671,0.64262,0.95231,0.93317,0.83559,0.9238,0.6829,0.9377,0.84267,0.93244,0.56384,0.91807,1.26818,0.77398,1.07394,0.000347529,0.000347529,0.000347529
13,183.638,0.7026,1.0523,0.63554,0.95177,0.91198,0.8668,0.92508,0.6761,0.91855,0.85907,0.92754,0.56309,0.95325,1.25333,0.74323,1.10558,0.000343668,0.000343668,0.000343668
14,197.473,0.69835,1.01406,0.61635,0.94795,0.91143,0.87838,0.93139,0.6711,0.90943,0.87645,0.91998,0.55018,0.95533,1.20418,0.74238,1.09939,0.000339807,0.000339807,0.000339807
15,211.274,0.68848,1.00289,0.60056,0.94685,0.90105,0.87901,0.93005,0.67632,0.90545,0.87066,0.92852,0.55966,0.93865,1.22194,0.70446,1.08686,0.000335946,0.000335946,0.000335946
16,224.964,0.68459,1.01453,0.5942,0.94651,0.90638,0.87838,0.92855,0.68018,0.91604,0.8861,0.93562,0.55908,0.95523,1.22511,0.69872,1.10607,0.000332085,0.000332085,0.000332085
17,238.723,0.69094,0.99382,0.57594,0.94651,0.85361,0.90053,0.93241,0.68378,0.89382,0.87754,0.93816,0.56591,0.92904,1.2296,0.69481,1.08175,0.000328224,0.000328224,0.000328224
18,252.493,0.67458,0.97523,0.55885,0.94266,0.87229,0.90154,0.92818,0.68289,0.88028,0.90927,0.93591,0.56613,0.94801,1.19375,0.68413,1.09436,0.000324363,0.000324363,0.000324363
19,266.231,0.67237,0.98178,0.55876,0.94429,0.91767,0.87452,0.92785,0.67968,0.92427,0.87177,0.92781,0.56523,0.94283,1.19807,0.68247,1.097,0.000320502,0.000320502,0.000320502
20,279.838,0.65244,0.95712,0.54287,0.93679,0.90105,0.89382,0.93012,0.6879,0.90977,0.89543,0.93932,0.57189,0.93297,1.22744,0.65386,1.09038,0.000316641,0.000316641,0.000316641
21,293.564,0.64233,0.93843,0.52889,0.93215,0.92352,0.88224,0.93866,0.69163,0.9265,0.88417,0.93781,0.56989,0.93824,1.20351,0.65996,1.08168,0.00031278,0.00031278,0.00031278
22,307.362,0.65047,0.9593,0.5248,0.93563,0.91992,0.87645,0.9441,0.69493,0.91992,0.87645,0.94024,0.57617,0.92918,1.22392,0.63945,1.06707,0.000308919,0.000308919,0.000308919
23,321.186,0.62931,0.92952,0.51346,0.92814,0.91897,0.8977,0.93906,0.69144,0.93354,0.90927,0.94755,0.57219,0.9255,1.21098,0.63248,1.08366,0.000305058,0.000305058,0.000305058
24,334.902,0.63484,0.93154,0.51528,0.93331,0.91794,0.88031,0.9378,0.68565,0.93392,0.87305,0.93904,0.56914,0.9527,1.22347,0.6278,1.08682,0.000301197,0.000301197,0.000301197
25,348.623,0.62156,0.92125,0.49772,0.92848,0.9109,0.89189,0.9369,0.68606,0.92059,0.90154,0.94394,0.5769,0.92905,1.20382,0.6351,1.08589,0.000297336,0.000297336,0.000297336
26,362.216,0.62446,0.90992,0.50013,0.92592,0.89369,0.89961,0.94008,0.68813,0.90745,0.8861,0.94113,0.58237,0.92494,1.20968,0.65084,1.10428,0.000293475,0.000293475,0.000293475
27,375.964,0.62525,0.90976,0.49939,0.92751,0.92571,0.87259,0.93856,0.69192,0.91049,0.90335,0.9408,0.57681,0.91967,1.18083,0.63138,1.08241,0.000289614,0.000289614,0.000289614
28,389.565,0.61035,0.91103,0.48813,0.9264,0.8901,0.90683,0.94607,0.69744,0.9186,0.89321,0.94925,0.58005,0.92456,1.20786,0.60986,1.07599,0.000285753,0.000285753,0.000285753
29,403.233,0.6098,0.88217,0.47907,0.92245,0.90143,0.89382,0.94226,0.70009,0.91332,0.89499,0.94702,0.58194,0.91781,1.21231,0.60732,1.06221,0.000281892,0.000281892,0.000281892
30,416.976,0.59824,0.89081,0.47323,0.92417,0.92505,0.90539,0.9528,0.70587,0.92702,0.90732,0.94906,0.58476,0.92206,1.18457,0.58583,1.07257,0.000278031,0.000278031,0.000278031
31,430.729,0.59316,0.88188,0.46894,0.92355,0.90679,0.90541,0.94275,0.70289,0.91006,0.91313,0.94762,0.58294,0.90751,1.1918,0.58018,1.05999,0.00027417,0.00027417,0.00027417
32,444.433,0.58657,0.88366,0.46678,0.9237,0.92142,0.8861,0.94821,0.70251,0.93093,0.88803,0.94852,0.58994,0.91526,1.16534,0.59003,1.06765,0.000270309,0.000270309,0.000270309
33,458.171,0.58668,0.87114,0.45378,0.91436,0.9341,0.88417,0.9476,0.69714,0.93818,0.88803,0.94714,0.583,0.92347,1.20687,0.58404,1.07859,0.000266448,0.000266448,0.000266448
34,471.811,0.57593,0.85587,0.4469,0.91986,0.91447,0.89189,0.94248,0.69701,0.922,0.89575,0.95161,0.58519,0.92224,1.20024,0.58749,1.07416,0.000262587,0.000262587,0.000262587
35,485.446,0.5847,0.86317,0.44832,0.91754,0.91684,0.89392,0.94394,0.69861,0.93005,0.89382,0.94592,0.58529,0.92162,1.20173,0.57373,1.08914,0.000258726,0.000258726,0.000258726
36,499.117,0.57567,0.83632,0.4418,0.9158,0.90284,0.89696,0.93723,0.69235,0.90867,0.90275,0.94298,0.57953,0.9101,1.2081,0.58725,1.07971,0.000254865,0.000254865,0.000254865
37,512.796,0.57457,0.83709,0.44078,0.91711,0.91935,0.89768,0.94622,0.70668,0.9439,0.88417,0.95162,0.5779,0.9044,1.23914,0.56331,1.06973,0.000251004,0.000251004,0.000251004
38,526.494,0.55689,0.83133,0.42856,0.90797,0.89141,0.90328,0.93946,0.6951,0.8895,0.90135,0.94023,0.57993,0.92526,1.22114,0.56532,1.08235,0.000247143,0.000247143,0.000247143
39,540.166,0.55228,0.81316,0.42382,0.90865,0.9248,0.88996,0.94858,0.70204,0.93139,0.89575,0.95521,0.58062,0.91098,1.19614,0.54864,1.08099,0.000243282,0.000243282,0.000243282
40,553.736,0.55062,0.8073,0.42712,0.90791,0.91037,0.89961,0.94275,0.70255,0.92106,0.90927,0.95637,0.58644,0.92209,1.20297,0.55879,1.07704,0.000239421,0.000239421,0.000239421
41,567.372,0.55147,0.80455,0.41645,0.90776,0.90986,0.90347,0.93936,0.69829,0.93875,0.88761,0.95023,0.58157,0.90844,1.21995,0.55586,1.08571,0.00023556,0.00023556,0.00023556
42,580.978,0.54175,0.82334,0.41812,0.90821,0.93034,0.89382,0.94789,0.71074,0.93016,0.90154,0.95574,0.59008,0.89991,1.21118,0.54668,1.07083,0.000231699,0.000231699,0.000231699
43,594.769,0.54781,0.80529,0.42228,0.90738,0.90827,0.89843,0.94749,0.70798,0.91426,0.90154,0.95299,0.58857,0.91312,1.18111,0.55342,1.06762,0.000227838,0.000227838,0.000227838
44,608.392,0.54219,0.81697,0.41787,0.90565,0.90112,0.91486,0.95289,0.70454,0.92278,0.89382,0.95451,0.58945,0.91219,1.1879,0.54562,1.07506,0.000223977,0.000223977,0.000223977
45,621.932,0.53061,0.79458,0.40676,0.89818,0.91331,0.90347,0.94602,0.70406,0.9265,0.90036,0.94629,0.58852,0.91426,1.1777,0.55526,1.0696,0.000220116,0.000220116,0.000220116
46,635.498,0.54989,0.81528,0.41505,0.91117,0.91785,0.88438,0.9346,0.69417,0.93137,0.89575,0.95125,0.58505,0.91377,1.17935,0.5669,1.07585,0.000216255,0.000216255,0.000216255
47,649.206,0.5417,0.78767,0.41124,0.90972,0.93107,0.88653,0.94651,0.71212,0.94116,0.89542,0.95686,0.59021,0.89381,1.1958,0.53085,1.06382,0.000212394,0.000212394,0.000212394
48,663.008,0.53716,0.79458,0.40495,0.903,0.92004,0.90154,0.94701,0.70218,0.91939,0.90272,0.95354,0.58674,0.9222,1.16102,0.56179,1.07515,0.000208533,0.000208533,0.000208533
49,676.702,0.53878,0.78806,0.40958,0.90308,0.91457,0.90939,0.94546,0.70885,0.92276,0.91699,0.96166,0.5951,0.90004,1.18851,0.53078,1.07391,0.000204672,0.000204672,0.000204672
50,690.523,0.52586,0.77558,0.40353,0.89808,0.9028,0.91699,0.94488,0.70622,0.9028,0.91699,0.95007,0.59124,0.90782,1.15868,0.55185,1.068,0.000200811,0.000200811,0.000200811
51,704.054,0.53323,0.77383,0.40096,0.90786,0.9354,0.89575,0.94918,0.70767,0.94167,0.90154,0.95562,0.59247,0.9166,1.18338,0.54014,1.08047,0.00019695,0.00019695,0.00019695
52,717.714,0.52906,0.7836,0.3942,0.90717,0.92441,0.90154,0.94345,0.70986,0.93453,0.90941,0.9527,0.58974,0.8877,1.18218,0.55215,1.06371,0.000193089,0.000193089,0.000193089
53,731.387,0.52716,0.78701,0.39739,0.90474,0.92005,0.88862,0.94708,0.70283,0.92605,0.89442,0.95501,0.58863,0.90646,1.20398,0.54399,1.07419,0.000189228,0.000189228,0.000189228
54,745.024,0.51183,0.75847,0.38768,0.89555,0.92193,0.88914,0.93992,0.70454,0.93362,0.89605,0.95306,0.58585,0.90791,1.19979,0.5485,1.07314,0.000185367,0.000185367,0.000185367
55,758.626,0.51995,0.76506,0.38981,0.89849,0.91029,0.89382,0.94399,0.70941,0.90878,0.90398,0.95237,0.58942,0.90134,1.20298,0.54165,1.07162,0.000181506,0.000181506,0.000181506
56,772.216,0.51277,0.7637,0.38378,0.89728,0.91881,0.90734,0.94229,0.71511,0.92663,0.91506,0.95467,0.59703,0.89182,1.1681,0.53377,1.06365,0.000177645,0.000177645,0.000177645
57,785.978,0.50396,0.7433,0.37987,0.89233,0.91402,0.90293,0.94708,0.71183,0.91988,0.90872,0.95794,0.59143,0.89675,1.19124,0.52551,1.07176,0.000173784,0.000173784,0.000173784
58,799.55,0.50135,0.75028,0.37853,0.89111,0.89499,0.92142,0.94737,0.70521,0.90062,0.92721,0.9529,0.589,0.90209,1.19109,0.53512,1.06994,0.000169923,0.000169923,0.000169923
59,813.35,0.50716,0.73925,0.3842,0.89858,0.9056,0.90751,0.94618,0.71067,0.93024,0.90104,0.9523,0.59257,0.89185,1.18405,0.53069,1.06901,0.000166062,0.000166062,0.000166062
60,826.968,0.50808,0.75343,0.37952,0.89516,0.90371,0.91313,0.9441,0.71317,0.91184,0.92085,0.95578,0.58688,0.9004,1.18288,0.5165,1.06812,0.000162201,0.000162201,0.000162201
61,840.456,0.5086,0.75438,0.38079,0.89636,0.92051,0.89575,0.94277,0.70863,0.92824,0.89896,0.95411,0.58887,0.90003,1.19886,0.53313,1.07286,0.00015834,0.00015834,0.00015834
62,854.135,0.50309,0.73619,0.37859,0.89542,0.92134,0.90446,0.95012,0.71157,0.92526,0.90811,0.95951,0.60386,0.89726,1.17724,0.51537,1.06406,0.000154479,0.000154479,0.000154479
63,867.82,0.49397,0.72552,0.36589,0.89443,0.9288,0.90658,0.95026,0.7155,0.93271,0.90974,0.95699,0.59986,0.89445,1.19352,0.51765,1.06849,0.000150618,0.000150618,0.000150618
64,881.385,0.49439,0.72454,0.36971,0.89225,0.91978,0.90541,0.94811,0.71929,0.92174,0.90734,0.95876,0.5907,0.88699,1.18776,0.52154,1.06067,0.000146757,0.000146757,0.000146757
65,895.075,0.49478,0.73463,0.37132,0.89295,0.91896,0.89748,0.93991,0.7007,0.92685,0.905,0.95357,0.59013,0.89487,1.17875,0.5348,1.07636,0.000142896,0.000142896,0.000142896
66,908.688,0.49396,0.72525,0.36373,0.89489,0.92628,0.89755,0.94541,0.71316,0.93022,0.90072,0.95474,0.59029,0.90625,1.20062,0.51665,1.08321,0.000139035,0.000139035,0.000139035
67,922.304,0.49019,0.72707,0.36504,0.89249,0.93644,0.89961,0.94958,0.71419,0.94687,0.90927,0.96103,0.5991,0.88754,1.1589,0.50679,1.06741,0.000135174,0.000135174,0.000135174
68,935.96,0.48143,0.71479,0.36526,0.89403,0.92131,0.92857,0.94579,0.71518,0.92386,0.93243,0.94771,0.58726,0.88262,1.17932,0.51499,1.06924,0.000131313,0.000131313,0.000131313
69,949.526,0.48725,0.71517,0.36462,0.88859,0.93223,0.90285,0.94624,0.71433,0.93621,0.90671,0.95445,0.59317,0.88983,1.17748,0.51733,1.06649,0.000127452,0.000127452,0.000127452
70,963.184,0.48189,0.7324,0.36181,0.88602,0.91845,0.90541,0.94893,0.7162,0.92845,0.91506,0.96284,0.59621,0.88554,1.15707,0.51261,1.0603,0.000123591,0.000123591,0.000123591
71,976.701,0.48674,0.72801,0.36385,0.89158,0.92632,0.9112,0.95021,0.71182,0.93024,0.91506,0.95685,0.59443,0.89885,1.18844,0.50078,1.07734,0.00011973,0.00011973,0.00011973
72,990.339,0.48627,0.72123,0.36384,0.89018,0.92447,0.91892,0.95173,0.71212,0.92642,0.92085,0.9569,0.59127,0.8985,1.1882,0.5009,1.08074,0.000115869,0.000115869,0.000115869
73,1003.97,0.47201,0.71728,0.35686,0.88326,0.91044,0.90927,0.94675,0.71336,0.91238,0.9112,0.95157,0.59451,0.89435,1.15925,0.53044,1.06384,0.000112008,0.000112008,0.000112008
74,1017.6,0.48082,0.7136,0.35142,0.88851,0.93073,0.90791,0.95126,0.72112,0.93271,0.90984,0.95914,0.60015,0.88614,1.16133,0.50972,1.06669,0.000108147,0.000108147,0.000108147
75,1031.27,0.47284,0.70125,0.35464,0.88805,0.92877,0.90541,0.94861,0.71852,0.9441,0.91296,0.96243,0.60084,0.88508,1.16557,0.50908,1.07229,0.000104286,0.000104286,0.000104286
76,1044.78,0.48089,0.72733,0.3553,0.88441,0.93928,0.89583,0.94932,0.71356,0.9454,0.90347,0.95629,0.59543,0.90208,1.1703,0.5004,1.08091,0.000100425,0.000100425,0.000100425
77,1058.31,0.46639,0.70759,0.3481,0.88495,0.93363,0.89615,0.94828,0.70883,0.93967,0.90207,0.95341,0.59344,0.90719,1.18103,0.50747,1.08281,9.6564e-05,9.6564e-05,9.6564e-05
78,1071.93,0.47174,0.71727,0.35226,0.88458,0.924,0.91533,0.94905,0.71789,0.92595,0.91726,0.95978,0.5998,0.89301,1.17345,0.50057,1.07132,9.2703e-05,9.2703e-05,9.2703e-05
79,1085.48,0.46144,0.69599,0.3496,0.88071,0.92801,0.90734,0.95034,0.71428,0.92931,0.91367,0.9584,0.59849,0.90525,1.17395,0.50183,1.08343,8.8842e-05,8.8842e-05,8.8842e-05
80,1099.19,0.46864,0.70815,0.34751,0.88493,0.9132,0.91399,0.94765,0.71331,0.92897,0.90897,0.95775,0.60053,0.89699,1.14791,0.50517,1.07101,8.4981e-05,8.4981e-05,8.4981e-05
81,1112.81,0.45077,0.6726,0.33426,0.88173,0.92538,0.91506,0.94595,0.71533,0.92666,0.91699,0.95685,0.59527,0.89473,1.18443,0.50272,1.07314,8.112e-05,8.112e-05,8.112e-05
82,1126.54,0.46458,0.69182,0.3427,0.88634,0.92273,0.9112,0.94729,0.71764,0.92273,0.9112,0.95374,0.59794,0.88851,1.16498,0.49725,1.06559,7.7259e-05,7.7259e-05,7.7259e-05
83,1140.19,0.45623,0.69013,0.33629,0.88195,0.93481,0.9136,0.94899,0.71568,0.93712,0.92072,0.95924,0.59462,0.9038,1.18239,0.50088,1.07383,7.3398e-05,7.3398e-05,7.3398e-05
