epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.2865,1.33908,2.63334,3.05478,1.33116,0.0056,0.97297,0.17082,0.08512,0.00531,0.92278,0.16367,0.07488,1.09578,1.6817,2.88525,1.20075,0.0700818,0.000117138,0.000117138
2,31.232,1.06324,1.64686,2.4836,1.05258,0.68707,0.62548,0.65514,0.42472,0.6879,0.62162,0.6519,0.33257,1.02635,1.45808,2.31644,1.09289,0.0398093,0.00023332,0.00023332
3,45.0631,0.99075,1.44611,1.76133,0.99322,0.79198,0.74967,0.79627,0.51728,0.79989,0.7529,0.80424,0.43878,1.07281,1.35014,1.55854,1.10697,0.00953443,0.000347155,0.000347155
4,58.8613,0.91361,1.32864,1.24904,0.94451,0.86418,0.8166,0.87751,0.60892,0.87882,0.81202,0.8846,0.512,0.98274,1.24383,1.28031,1.0118,0.000378414,0.000378414,0.000378414
5,72.6572,0.849,1.23293,1.05789,0.90844,0.84844,0.83977,0.87828,0.62229,0.86061,0.84556,0.88514,0.50987,0.954,1.22489,1.1113,1.01114,0.000374552,0.000374552,0.000374552
6,86.5158,0.83497,1.16947,0.92699,0.90411,0.86722,0.86997,0.90954,0.64731,0.86782,0.86873,0.90974,0.54021,0.955,1.17573,1.03405,0.99748,0.00037069,0.00037069,0.00037069
7,100.393,0.79221,1.12516,0.84442,0.88017,0.8636,0.85559,0.88833,0.6353,0.84323,0.87452,0.89537,0.5226,0.97037,1.22449,0.99055,1.01793,0.000366828,0.000366828,0.000366828
8,114.231,0.76895,1.12114,0.77958,0.87695,0.89702,0.83398,0.90876,0.6495,0.90372,0.83591,0.91426,0.53591,0.94641,1.21332,0.89927,0.99703,0.000362966,0.000362966,0.000362966
9,128.011,0.74585,1.09421,0.74826,0.86832,0.88639,0.85907,0.90624,0.64576,0.88394,0.85278,0.89149,0.5288,0.93804,1.20985,0.87041,0.99869,0.000359104,0.000359104,0.000359104
10,141.819,0.74404,1.06359,0.71392,0.87031,0.90257,0.87838,0.92313,0.66119,0.88936,0.87066,0.91183,0.55085,0.93587,1.20599,0.82648,0.99903,0.000355242,0.000355242,0.000355242
11,155.676,0.71696,1.05342,0.67217,0.86774,0.90387,0.85314,0.92191,0.66903,0.91205,0.86086,0.92891,0.55468,0.92129,1.18159,0.78895,0.98273,0.00035138,0.00035138,0.00035138
12,169.469,0.70199,1.02563,0.64309,0.85891,0.87446,0.88749,0.92319,0.67277,0.87832,0.89187,0.9218,0.55371,0.92367,1.20031,0.76612,0.97523,0.000347518,0.000347518,0.000347518
13,183.186,0.68043,1.002,0.62753,0.85614,0.87108,0.8668,0.91039,0.66768,0.88707,0.88224,0.92411,0.5561,0.91667,1.19477,0.75239,0.97806,0.000343656,0.000343656,0.000343656
14,196.917,0.67248,0.98538,0.6059,0.84907,0.91039,0.87066,0.9232,0.67284,0.90681,0.88289,0.92896,0.55806,0.92375,1.16842,0.72162,0.98764,0.000339794,0.000339794,0.000339794
15,210.758,0.66586,0.97005,0.60348,0.85252,0.88859,0.89301,0.925,0.68468,0.88939,0.89382,0.93462,0.56595,0.8971,1.16534,0.73261,0.96399,0.000335932,0.000335932,0.000335932
16,224.574,0.66214,0.98273,0.58669,0.84754,0.88076,0.88803,0.92387,0.67708,0.89504,0.89575,0.9332,0.558,0.90817,1.17138,0.69386,0.9803,0.00033207,0.00033207,0.00033207
