fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.48394,0.01018,0.01,0.87731,0.00049,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
0.47532,0.01034,0.01019,0.86914,0.00049,2.98336,0.81726,7.5,0.48695,1.50366,0.01465,0.68508,0.39285,0.0,0.10315,0.4935,0.0,0.0,0.0,0.51078,0.0,0.97044,0.0,0.0
0.48389,0.00997,0.01022,0.87731,0.00052,2.84937,0.73559,7.67514,0.50385,1.52452,0.015,0.74381,0.40784,0.0,0.10305,0.50299,0.0,0.0,0.0,0.50223,0.0,0.92853,0.0,0.0
0.48215,0.01018,0.0111,0.84714,0.00049,3.15007,0.78914,7.5,0.5,2.13953,0.01156,0.7,0.26769,0.0,0.13007,0.37639,0.0,0.0,0.0,0.45627,0.0,1.0,0.0,0.0
0.49105,0.01018,0.01227,0.91303,0.00038,3.05166,0.8,7.5,0.55351,1.26513,0.015,0.69999,0.4,0.0,0.12281,0.45913,0.0,0.0,0.0,0.5,0.0,0.89399,0.0,0.0
0.47654,0.00685,0.01004,0.82277,0.00061,3.97725,0.8526,7.54401,0.47854,2.13953,0.01287,0.71444,0.26769,0.0,0.12951,0.36731,0.0,0.0,0.0,0.45627,0.0,1.0,0.0,0.0
0.48534,0.01017,0.0111,0.84714,0.00048,2.97708,0.78914,7.36568,0.48104,2.08386,0.01161,0.76676,0.27763,0.0,0.13306,0.37011,0.0,0.0,0.0,0.45627,0.0,0.96151,0.0,0.0
0.48055,0.00843,0.0103,0.91112,0.00048,3.31102,0.5957,8.20707,0.51415,1.40285,0.01561,0.55175,0.40784,0.0,0.11093,0.46789,0.0,0.0,0.0,0.48329,0.0,1.0,0.0,0.0
0.48524,0.01017,0.0111,0.78035,0.00048,2.46609,0.69644,7.36568,0.44522,2.08386,0.01107,0.76676,0.26665,0.0,0.15424,0.44335,0.0,0.0,0.0,0.34382,0.0,1.0,0.0,0.0
0.4881,0.00887,0.01042,0.90458,0.0004,2.95254,0.89002,6.99502,0.64608,0.93299,0.01743,0.74267,0.4,0.0,0.11957,0.4293,0.0,0.0,0.0,0.48083,0.0,0.89399,0.0,0.0
0.47457,0.01018,0.01227,0.84799,0.00043,3.06083,0.8,9.59586,0.55351,1.42862,0.01651,0.69999,0.4936,0.0,0.12649,0.33765,0.0,0.0,0.0,0.63082,0.0,1.0,0.0,0.0
0.48196,0.01018,0.01336,0.98,0.00041,3.33815,0.95,6.83141,0.53334,1.16434,0.015,0.9,0.38548,0.0,0.11341,0.41174,0.0,0.0,0.0,0.52858,0.0,0.91423,0.0,0.0
0.48372,0.01047,0.01279,0.91303,0.00043,2.7797,0.8,7.69336,0.4843,1.25502,0.01411,0.67988,0.4,0.0,0.13014,0.40967,0.0,0.0,0.0,0.55469,0.0,0.98832,0.0,0.0
0.48917,0.0077,0.00891,0.9247,0.00042,2.95254,0.89068,6.99502,0.69471,0.98313,0.01722,0.81534,0.4,0.0,0.11618,0.41144,0.0,0.0,0.0,0.48083,0.0,0.87385,0.0,0.0
0.48373,0.01118,0.01115,0.91263,0.00038,3.17928,0.78426,8.29385,0.49292,1.08533,0.01744,0.69999,0.41835,0.0,0.12281,0.34974,0.0,0.0,0.0,0.40471,0.0,0.94121,0.0,0.0
0.48754,0.0077,0.0084,0.95664,0.00046,3.03592,0.90756,6.71912,0.72503,1.00637,0.01722,0.81534,0.42856,0.0,0.11351,0.39988,0.0,0.0,0.0,0.45092,0.0,0.91123,0.0,0.0
0.4835,0.00775,0.01015,0.89962,0.00041,2.72587,0.95,6.99502,0.64608,0.83099,0.01832,0.84806,0.4,0.0,0.12179,0.5664,0.0,0.0,0.0,0.54922,0.0,0.96479,0.0,0.0
0.48735,0.00769,0.00885,0.92565,0.00042,2.9899,0.89068,6.95376,0.69471,0.98313,0.01722,0.81786,0.4,0.0,0.11661,0.41144,0.0,0.0,0.0,0.47493,0.0,0.87385,0.0,0.0
0.49069,0.01292,0.01227,0.93731,0.00037,2.94891,0.52869,7.5,0.57501,1.62331,0.01637,0.72702,0.4,0.0,0.10806,0.45913,0.0,0.0,0.0,0.4514,0.0,0.89399,0.0,0.0
0.50344,0.01041,0.01424,0.90458,0.00039,2.69404,0.95,8.11476,0.82363,1.11869,0.01743,0.74267,0.40532,0.0,0.09868,0.47237,0.0,0.0,0.0,0.59142,0.0,0.52259,0.0,0.0
0.50388,0.00945,0.01501,0.88056,0.00039,2.3905,0.87711,7.56922,0.82363,1.11869,0.0198,0.77524,0.46601,0.0,0.09957,0.47237,0.0,0.0,0.0,0.51833,0.0,0.37268,0.0,0.0
