epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.3359,2.22441,4.61239,0.89912,0.01951,0.26867,0.01292,0.00716,0.81019,45.3149,0.36024,0.00036,0.00036,0.00036
2,33.2772,1.90546,3.14021,0.72255,0.03751,0.51652,0.06153,0.02353,0.86206,244.067,0.38335,0.000732675,0.000732675,0.000732675
3,49.8416,1.8055,2.57292,0.71326,0.03111,0.4284,0.20503,0.0839,0.83001,49.9893,0.39383,0.00109783,0.00109783,0.00109783
4,70.9449,1.74535,2.34333,0.70426,0.47085,0.20149,0.21522,0.08331,0.85227,38.8965,0.41207,0.00145546,0.00145546,0.00145546
5,88.8969,1.67955,2.24679,0.68716,0.38952,0.26316,0.24601,0.10399,0.84297,40.8247,0.41319,0.00180556,0.00180556,0.00180556
6,108.823,1.70914,2.24765,0.69974,0.50587,0.40636,0.41925,0.21006,0.7982,184.986,0.36908,0.00190102,0.00190102,0.00190102
7,123.095,1.68473,2.1674,0.68795,0.56213,0.46119,0.48121,0.24523,0.77222,29.5655,0.36616,0.00188122,0.00188122,0.00188122
8,136.368,1.67854,2.10345,0.68105,0.51818,0.42847,0.42964,0.21037,0.8083,172.031,0.38081,0.00186142,0.00186142,0.00186142
9,156.495,1.67759,2.08579,0.67969,0.39805,0.4339,0.34504,0.17211,0.77575,224.846,0.36081,0.00184162,0.00184162,0.00184162
10,175.408,1.65493,2.06509,0.67899,0.59687,0.4694,0.50738,0.27107,0.75043,11.2734,0.35664,0.00182183,0.00182183,0.00182183
11,189.939,1.59461,1.96673,0.67001,0.58642,0.49082,0.52428,0.27622,0.73837,35.3579,0.34635,0.00180203,0.00180203,0.00180203
12,202.159,1.64595,1.9985,0.67377,0.49079,0.48164,0.45347,0.23963,0.74938,98.6036,0.352,0.00178223,0.00178223,0.00178223
13,218.121,1.58593,1.93945,0.65816,0.65264,0.51514,0.57877,0.32242,0.72192,25.8988,0.34904,0.00176244,0.00176244,0.00176244
14,233.85,1.62839,1.93554,0.6715,0.5625,0.48391,0.51127,0.27193,0.73752,29.7483,0.34761,0.00174264,0.00174264,0.00174264
15,250.099,1.56565,1.88255,0.65352,0.63019,0.47736,0.5463,0.29013,0.76288,39.0129,0.35541,0.00172284,0.00172284,0.00172284
16,264.281,1.56493,1.86584,0.65368,0.65774,0.53794,0.60095,0.33714,0.71033,28.6802,0.34799,0.00170305,0.00170305,0.00170305
17,280.454,1.597,1.95242,0.66298,0.59479,0.49939,0.52466,0.29386,0.70486,46.6465,0.34533,0.00168325,0.00168325,0.00168325
18,296.456,1.5339,1.83366,0.65322,0.59348,0.51284,0.54989,0.29415,0.75084,35.6795,0.35705,0.00166345,0.00166345,0.00166345
19,313.055,1.57197,1.8537,0.65365,0.67447,0.54835,0.61068,0.35365,0.68024,7.40572,0.33237,0.00164365,0.00164365,0.00164365
20,328.269,1.52033,1.82025,0.64954,0.54078,0.47736,0.48852,0.24089,0.82812,7.77749,0.3611,0.00162386,0.00162386,0.00162386
21,344.74,1.53759,1.79832,0.64742,0.69397,0.50857,0.61012,0.34688,0.69352,6.03226,0.34295,0.00160406,0.00160406,0.00160406
22,361.609,1.5203,1.79584,0.64795,0.64349,0.52632,0.59225,0.34485,0.68653,3.70363,0.33997,0.00158426,0.00158426,0.00158426
23,382.513,1.52591,1.77149,0.65124,0.68275,0.54526,0.6196,0.3699,0.66684,4.69381,0.32985,0.00156447,0.00156447,0.00156447
24,392.411,1.53413,1.81107,0.64602,0.64543,0.5563,0.61593,0.35514,0.67779,31.173,0.33444,0.00154467,0.00154467,0.00154467
25,408.321,1.52934,1.78659,0.6407,0.67991,0.54835,0.62625,0.36149,0.67895,5.29618,0.33515,0.00152487,0.00152487,0.00152487
26,424.52,1.50641,1.70937,0.64168,0.67187,0.55875,0.63634,0.37212,0.6775,16.0619,0.33463,0.00150508,0.00150508,0.00150508
27,440.458,1.4814,1.70339,0.63797,0.66562,0.56793,0.6353,0.36452,0.7019,16.9788,0.34195,0.00148528,0.00148528,0.00148528
28,454.981,1.48044,1.72487,0.63561,0.68692,0.53366,0.61524,0.35122,0.69605,1.88175,0.34061,0.00146548,0.00146548,0.00146548
29,467.462,1.4871,1.69623,0.64305,0.64952,0.57283,0.62647,0.36461,0.68726,17.2266,0.33494,0.00144568,0.00144568,0.00144568
30,490.222,1.4848,1.72249,0.63039,0.70155,0.58507,0.65996,0.37173,0.69257,9.16586,0.33507,0.00142589,0.00142589,0.00142589
31,510.214,1.47673,1.69638,0.6316,0.63349,0.53978,0.59744,0.35766,0.68138,35.5452,0.33666,0.00140609,0.00140609,0.00140609
32,531.262,1.44797,1.63605,0.62868,0.7008,0.57482,0.65478,0.38584,0.66255,1.20202,0.32826,0.00138629,0.00138629,0.00138629
33,543.095,1.4551,1.63829,0.63072,0.701,0.5567,0.64153,0.36575,0.69469,2.60324,0.33405,0.0013665,0.0013665,0.0013665
34,560.049,1.46053,1.66285,0.6252,0.70696,0.58615,0.65935,0.38629,0.6669,2.26627,0.32967,0.0013467,0.0013467,0.0013467
35,575.834,1.47696,1.64335,0.63356,0.6868,0.56231,0.63951,0.3665,0.67908,0.96761,0.33484,0.0013269,0.0013269,0.0013269
36,590.743,1.42767,1.60956,0.62416,0.66268,0.55998,0.62275,0.33671,0.72994,1.14109,0.34885,0.00130711,0.00130711,0.00130711
37,604.507,1.4675,1.64147,0.62287,0.70005,0.5542,0.64576,0.38101,0.67021,1.69357,0.33305,0.00128731,0.00128731,0.00128731
38,617.075,1.45407,1.63393,0.6272,0.67959,0.57374,0.64286,0.37562,0.68103,2.839,0.33426,0.00126751,0.00126751,0.00126751
39,628.638,1.47032,1.62264,0.63017,0.71827,0.55814,0.66315,0.40182,0.65113,5.31643,0.32666,0.00124771,0.00124771,0.00124771
40,646.149,1.44825,1.58816,0.62757,0.70721,0.55581,0.656,0.39617,0.63864,1.63263,0.32269,0.00122792,0.00122792,0.00122792
41,666.085,1.38908,1.59124,0.61698,0.72604,0.57903,0.67093,0.39848,0.65253,2.77191,0.32768,0.00120812,0.00120812,0.00120812
42,681.893,1.4215,1.59019,0.61873,0.69392,0.60098,0.66875,0.4021,0.65339,7.34358,0.32733,0.00118832,0.00118832,0.00118832
43,695.204,1.45058,1.61544,0.62531,0.70673,0.56916,0.65848,0.39977,0.64872,1.87217,0.32725,0.00116853,0.00116853,0.00116853
44,709.509,1.42357,1.59006,0.61708,0.72657,0.59357,0.67668,0.41145,0.64535,1.74422,0.3262,0.00114873,0.00114873,0.00114873
45,727.365,1.40967,1.55921,0.61601,0.69244,0.56548,0.64016,0.3831,0.66863,26.0433,0.33128,0.00112893,0.00112893,0.00112893
46,744.286,1.41245,1.55393,0.61212,0.69339,0.58405,0.65031,0.39126,0.65655,2.48837,0.32858,0.00110914,0.00110914,0.00110914
47,758.571,1.39268,1.52965,0.61435,0.72619,0.60037,0.68082,0.41215,0.656,0.95086,0.32649,0.00108934,0.00108934,0.00108934
48,773.03,1.37894,1.54059,0.61707,0.71458,0.5869,0.66489,0.38236,0.68598,1.00972,0.3366,0.00106954,0.00106954,0.00106954
49,792.686,1.4459,1.58172,0.61663,0.72686,0.59769,0.68511,0.40625,0.65564,1.01328,0.32708,0.00104974,0.00104974,0.00104974
50,805.344,1.36472,1.51443,0.60577,0.67918,0.56229,0.62581,0.37218,0.67294,10.9939,0.32928,0.00102995,0.00102995,0.00102995
51,821.173,1.41446,1.56824,0.60925,0.73014,0.57405,0.67912,0.40954,0.64021,7.24098,0.32147,0.00101015,0.00101015,0.00101015
52,834.536,1.37623,1.50044,0.60725,0.72753,0.57099,0.67035,0.39736,0.65839,1.25987,0.32671,0.000990353,0.000990353,0.000990353
