epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,236.285,2.34586,3.10175,1.58729,0.25722,0.31201,0.18991,0.09672,1.70619,2.35065,1.30798,0.000552035,0.000552035,0.000552035
2,472.817,1.99999,2.24512,1.3783,0.3257,0.37031,0.24668,0.13076,1.6411,2.10619,1.27774,0.00109674,0.00109674,0.00109674
3,690.497,1.90374,2.11575,1.33759,0.29694,0.36448,0.22568,0.06767,2.3201,2.11476,1.64749,0.00163043,0.00163043,0.00163043
4,901.878,1.8657,2.05583,1.32488,0.35699,0.45746,0.29679,0.16034,1.58664,1.89763,1.24182,0.00161749,0.00161749,0.00161749
5,3282.65,1.84273,2.02819,1.31729,0.35466,0.43159,0.29305,0.15851,1.59194,1.91929,1.26464,0.00160099,0.00160099,0.00160099
6,3355.39,1.77885,1.97145,1.29169,0.32015,0.43998,0.28072,0.16517,1.48238,2.03823,1.19063,0.00158448,0.00158448,0.00158448
7,3425.59,1.76052,1.93568,1.27578,0.31605,0.47754,0.30348,0.17507,1.49607,1.79178,1.20364,0.00156798,0.00156798,0.00156798
8,3496,1.75725,1.91509,1.27057,0.3824,0.48037,0.32257,0.19023,1.48443,1.6867,1.2008,0.00155148,0.00155148,0.00155148
9,3565.35,1.71951,1.896,1.26635,0.37321,0.50356,0.32236,0.19201,1.41216,1.68986,1.17957,0.00153497,0.00153497,0.00153497
10,3638.94,1.72659,1.8926,1.25383,0.37453,0.50927,0.33422,0.1995,1.43393,1.67359,1.16989,0.00151847,0.00151847,0.00151847
11,3717.43,1.69505,1.86581,1.24198,0.39801,0.49167,0.33068,0.19196,1.52708,1.6961,1.20928,0.00150197,0.00150197,0.00150197
12,3786.83,1.69458,1.85361,1.24772,0.37881,0.52125,0.33117,0.20165,1.40651,1.6612,1.17601,0.00148546,0.00148546,0.00148546
13,3856.99,1.67673,1.82908,1.23793,0.40554,0.48993,0.33491,0.20014,1.42815,1.66904,1.16648,0.00146896,0.00146896,0.00146896
14,3928,1.66878,1.83788,1.23666,0.36455,0.53209,0.33709,0.20722,1.39152,1.69044,1.13826,0.00145246,0.00145246,0.00145246
15,3997.1,1.66088,1.82271,1.22664,0.38576,0.51531,0.33469,0.20529,1.4058,1.64353,1.15959,0.00143595,0.00143595,0.00143595
16,4066.52,1.65643,1.8118,1.21973,0.39123,0.54705,0.34433,0.20707,1.38597,1.63966,1.15629,0.00141945,0.00141945,0.00141945
17,4136.08,1.63633,1.79988,1.21752,0.38826,0.52508,0.34175,0.21034,1.39897,1.62794,1.15657,0.00140295,0.00140295,0.00140295
18,4209.98,1.64192,1.7919,1.21382,0.38982,0.55505,0.34488,0.21217,1.39891,1.64078,1.15366,0.00138644,0.00138644,0.00138644
19,4279.39,1.64039,1.78882,1.21251,0.37778,0.52575,0.34623,0.21737,1.35358,1.60997,1.13545,0.00136994,0.00136994,0.00136994
20,4350.77,1.62244,1.76801,1.20543,0.39434,0.52376,0.33916,0.21447,1.35816,1.60913,1.13721,0.00135344,0.00135344,0.00135344
21,4425.02,1.61506,1.77657,1.20826,0.39141,0.54311,0.34861,0.21528,1.35924,1.58064,1.15306,0.00133693,0.00133693,0.00133693
22,4494.28,1.61156,1.75652,1.20219,0.37142,0.55377,0.34332,0.2083,1.38024,1.64468,1.13935,0.00132043,0.00132043,0.00132043
23,4565.35,1.61731,1.75823,1.20272,0.37604,0.53997,0.34599,0.20996,1.3979,1.59897,1.16226,0.00130393,0.00130393,0.00130393
24,4634.61,1.61191,1.7593,1.197,0.40826,0.54189,0.35686,0.22485,1.33162,1.58447,1.12334,0.00128742,0.00128742,0.00128742
25,4703.89,1.58681,1.74827,1.1963,0.38085,0.51787,0.34029,0.21567,1.37641,1.61329,1.14354,0.00127092,0.00127092,0.00127092
26,4773.26,1.60186,1.75573,1.20248,0.40246,0.54432,0.35084,0.22029,1.34367,1.56345,1.13287,0.00125442,0.00125442,0.00125442
27,4842.19,1.58841,1.7359,1.19524,0.41587,0.5386,0.35682,0.2241,1.36696,1.56595,1.12619,0.00123791,0.00123791,0.00123791
28,4911.78,1.60014,1.73198,1.18986,0.38431,0.52419,0.33569,0.21197,1.37772,1.6072,1.13963,0.00122141,0.00122141,0.00122141
29,4981.83,1.57628,1.72064,1.18705,0.41008,0.55451,0.35487,0.22013,1.36382,1.55553,1.13107,0.00120491,0.00120491,0.00120491
30,5052.23,1.58608,1.71785,1.18051,0.39589,0.54937,0.35964,0.2257,1.32189,1.52947,1.12617,0.0011884,0.0011884,0.0011884
31,5121.73,1.56885,1.72211,1.18185,0.40573,0.5724,0.36712,0.22936,1.34496,1.52684,1.12524,0.0011719,0.0011719,0.0011719
32,5190.53,1.56399,1.70565,1.17642,0.40626,0.54283,0.36095,0.22846,1.30566,1.53586,1.11144,0.0011554,0.0011554,0.0011554
33,5259.74,1.55898,1.69926,1.18012,0.38985,0.56238,0.35914,0.22418,1.33679,1.56833,1.12992,0.00113889,0.00113889,0.00113889
34,5329.3,1.56841,1.70894,1.17917,0.3958,0.54004,0.35119,0.22227,1.34252,1.55537,1.13716,0.00112239,0.00112239,0.00112239
35,5398.46,1.55238,1.71186,1.18025,0.40324,0.55556,0.35801,0.22262,1.34023,1.51652,1.13045,0.00110589,0.00110589,0.00110589
36,5468.85,1.56579,1.71135,1.17664,0.40734,0.56433,0.36396,0.22801,1.35971,1.52476,1.12528,0.00108938,0.00108938,0.00108938
37,5538.25,1.56132,1.69663,1.1689,0.39168,0.54836,0.35717,0.22948,1.3066,1.52941,1.11691,0.00107288,0.00107288,0.00107288
38,5607.52,1.56214,1.69493,1.17688,0.38982,0.55531,0.35177,0.22383,1.34203,1.58398,1.13084,0.00105638,0.00105638,0.00105638
39,5677.07,1.5512,1.68876,1.17347,0.39315,0.54522,0.35341,0.21982,1.36966,1.56697,1.14486,0.00103987,0.00103987,0.00103987
40,5746.68,1.5344,1.68217,1.16642,0.40997,0.56396,0.3678,0.23314,1.3347,1.48989,1.10952,0.00102337,0.00102337,0.00102337
