epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.1408,2.52514,3.34011,1.68777,0.25703,0.28458,0.19607,0.07754,2.21562,2.35024,1.55658,0.000549352,0.000549352,0.000549352
2,87.9448,2.14509,2.17494,1.43053,0.55043,0.41511,0.45326,0.22437,1.70312,1.7113,1.30294,0.00109408,0.00109408,0.00109408
3,129.086,2.02941,1.95722,1.38439,0.50573,0.44186,0.44738,0.23065,1.70561,1.75193,1.28675,0.0016278,0.0016278,0.0016278
4,170.878,1.97314,1.87836,1.38289,0.56199,0.42778,0.47502,0.20679,1.9174,1.6722,1.41242,0.00161749,0.00161749,0.00161749
5,212.126,1.92723,1.82803,1.35871,0.61173,0.47729,0.52417,0.27491,1.64414,1.49115,1.27573,0.00160099,0.00160099,0.00160099
6,252.753,1.90231,1.77815,1.3478,0.62486,0.48531,0.54117,0.29977,1.60961,1.5015,1.25016,0.00158448,0.00158448,0.00158448
7,294.18,1.89166,1.72802,1.32299,0.64701,0.52754,0.57988,0.30634,1.56732,1.45354,1.23236,0.00156798,0.00156798,0.00156798
8,334.6,1.84285,1.70146,1.31702,0.62137,0.51958,0.575,0.32701,1.51233,1.53601,1.22435,0.00155148,0.00155148,0.00155148
9,375.362,1.83696,1.69269,1.3089,0.62055,0.54946,0.59796,0.34342,1.50749,1.35913,1.22507,0.00153497,0.00153497,0.00153497
10,415.835,1.80728,1.66402,1.29285,0.65871,0.53427,0.60962,0.3426,1.52997,1.36612,1.24502,0.00151847,0.00151847,0.00151847
11,456.343,1.78702,1.64079,1.29464,0.68168,0.53341,0.60199,0.34925,1.52226,1.38674,1.21347,0.00150197,0.00150197,0.00150197
12,496.768,1.76665,1.62103,1.27428,0.71074,0.51285,0.61314,0.35795,1.5017,1.35081,1.20951,0.00148546,0.00148546,0.00148546
13,538.097,1.76633,1.61125,1.28106,0.69644,0.56977,0.64601,0.3601,1.53649,1.34084,1.21738,0.00146896,0.00146896,0.00146896
14,578.896,1.76351,1.5997,1.27015,0.71055,0.56732,0.64959,0.37575,1.4858,1.27266,1.20959,0.00145246,0.00145246,0.00145246
15,619.052,1.74188,1.57625,1.26805,0.68961,0.5459,0.6255,0.36459,1.50282,1.29703,1.21065,0.00143595,0.00143595,0.00143595
16,659.862,1.74113,1.58496,1.26233,0.70151,0.53121,0.61676,0.36268,1.51801,1.3262,1.21958,0.00141945,0.00141945,0.00141945
17,700.12,1.7266,1.56699,1.2592,0.70786,0.54718,0.63666,0.37695,1.44736,1.29309,1.17408,0.00140295,0.00140295,0.00140295
18,740.246,1.73888,1.57408,1.27125,0.70996,0.56026,0.65173,0.36901,1.49947,1.28678,1.18912,0.00138644,0.00138644,0.00138644
19,780.751,1.73517,1.56657,1.26267,0.71081,0.57011,0.66222,0.38518,1.44551,1.29331,1.16889,0.00136994,0.00136994,0.00136994
20,822.535,1.70742,1.54077,1.25285,0.71779,0.55414,0.64262,0.35778,1.53837,1.30546,1.2047,0.00135344,0.00135344,0.00135344
21,863.851,1.68669,1.51848,1.23855,0.69147,0.58201,0.65962,0.39014,1.43269,1.23979,1.18918,0.00133693,0.00133693,0.00133693
22,904.264,1.68768,1.51823,1.24201,0.71581,0.57188,0.66005,0.39804,1.41707,1.23088,1.17863,0.00132043,0.00132043,0.00132043
23,945.116,1.69118,1.5098,1.23636,0.76744,0.55202,0.67225,0.40264,1.42126,1.21234,1.18155,0.00130393,0.00130393,0.00130393
24,985.881,1.7012,1.53449,1.25176,0.73979,0.55504,0.66705,0.3849,1.50722,1.23872,1.20152,0.00128742,0.00128742,0.00128742
25,1027.16,1.68361,1.50088,1.23564,0.7627,0.57435,0.68158,0.40745,1.43064,1.20608,1.16896,0.00127092,0.00127092,0.00127092
26,1068.13,1.68375,1.50995,1.2394,0.69516,0.56662,0.63622,0.36431,1.49156,1.26384,1.21964,0.00125442,0.00125442,0.00125442
27,1108.92,1.6649,1.50389,1.23447,0.7416,0.56671,0.67561,0.40708,1.41608,1.20386,1.17322,0.00123791,0.00123791,0.00123791
28,1149.45,1.67156,1.51447,1.23411,0.69862,0.58023,0.66393,0.40182,1.42198,1.24257,1.17738,0.00122141,0.00122141,0.00122141
29,1190.15,1.64568,1.48478,1.21999,0.72796,0.59058,0.67518,0.39597,1.46857,1.19202,1.18932,0.00120491,0.00120491,0.00120491
30,1230.79,1.65756,1.48647,1.23312,0.72703,0.58384,0.67664,0.40985,1.41258,1.1819,1.16831,0.0011884,0.0011884,0.0011884
31,1271.45,1.67414,1.49661,1.22944,0.70911,0.56692,0.65972,0.39055,1.46141,1.24959,1.1862,0.0011719,0.0011719,0.0011719
32,1312.84,1.65452,1.46402,1.21586,0.73714,0.58524,0.67908,0.40705,1.42357,1.19643,1.18219,0.0011554,0.0011554,0.0011554
33,1353.5,1.62782,1.46402,1.22212,0.7479,0.56829,0.67224,0.40659,1.39526,1.19307,1.16406,0.00113889,0.00113889,0.00113889
34,1394.03,1.63139,1.45917,1.2208,0.72012,0.5918,0.68094,0.41715,1.3534,1.17421,1.15114,0.00112239,0.00112239,0.00112239
35,1434.41,1.63828,1.45212,1.20539,0.72939,0.59058,0.6786,0.40828,1.43007,1.18375,1.17355,0.00110589,0.00110589,0.00110589
36,1474.7,1.6375,1.45577,1.21653,0.7491,0.5967,0.69685,0.42892,1.3783,1.13423,1.15502,0.00108938,0.00108938,0.00108938
37,1514.98,1.63158,1.44438,1.20704,0.74985,0.57895,0.68396,0.42248,1.36824,1.20869,1.15649,0.00107288,0.00107288,0.00107288
38,1555.53,1.64519,1.46168,1.21033,0.7439,0.57711,0.67461,0.41071,1.39077,1.17296,1.16302,0.00105638,0.00105638,0.00105638
39,1595.94,1.63436,1.44305,1.21108,0.76049,0.58752,0.70329,0.43071,1.35162,1.1474,1.14304,0.00103987,0.00103987,0.00103987
40,1636.41,1.61445,1.43067,1.20695,0.72405,0.59364,0.68042,0.41791,1.38331,1.15464,1.16147,0.00102337,0.00102337,0.00102337
41,1676.65,1.5986,1.41807,1.19942,0.72876,0.59196,0.68979,0.42812,1.36139,1.14109,1.14722,0.00100687,0.00100687,0.00100687
42,1716.82,1.60242,1.4272,1.20738,0.76384,0.576,0.68659,0.42426,1.3547,1.14771,1.15113,0.000990365,0.000990365,0.000990365
43,1757.15,1.60695,1.41393,1.20343,0.76065,0.57179,0.68293,0.42303,1.37575,1.14623,1.15079,0.000973861,0.000973861,0.000973861
44,1797.62,1.60524,1.40586,1.20652,0.73871,0.58813,0.68845,0.42088,1.37664,1.16069,1.15631,0.000957358,0.000957358,0.000957358
45,1838.1,1.62116,1.41802,1.20472,0.74279,0.59853,0.68854,0.42718,1.37157,1.15877,1.14486,0.000940855,0.000940855,0.000940855
46,1878.43,1.59607,1.41686,1.1934,0.74052,0.58159,0.69107,0.42217,1.37873,1.13441,1.16387,0.000924352,0.000924352,0.000924352
47,1918.67,1.59557,1.4132,1.19548,0.72433,0.60343,0.69344,0.42639,1.38032,1.13991,1.14784,0.000907848,0.000907848,0.000907848
48,1959.34,1.57818,1.39651,1.18918,0.74744,0.59792,0.6979,0.43295,1.36534,1.11588,1.14484,0.000891345,0.000891345,0.000891345
49,1999.5,1.59481,1.4199,1.19233,0.71955,0.6175,0.70307,0.43705,1.35873,1.1515,1.1516,0.000874842,0.000874842,0.000874842
50,2040.09,1.59806,1.40316,1.18628,0.75488,0.59731,0.70466,0.43949,1.35281,1.13581,1.13514,0.000858338,0.000858338,0.000858338
51,2080.23,1.59426,1.3849,1.18394,0.76016,0.61487,0.71335,0.44448,1.34775,1.10113,1.13434,0.000841835,0.000841835,0.000841835
52,2120.04,1.57325,1.38705,1.18903,0.75641,0.58935,0.70048,0.43627,1.36111,1.15525,1.14107,0.000825332,0.000825332,0.000825332
53,2160.5,1.58923,1.40492,1.18894,0.73066,0.60282,0.69846,0.43374,1.35448,1.11711,1.14621,0.000808828,0.000808828,0.000808828
54,2200.94,1.58006,1.39577,1.18742,0.75913,0.59241,0.70438,0.43183,1.37391,1.12305,1.1467,0.000792325,0.000792325,0.000792325
55,2241.14,1.57306,1.37401,1.18198,0.74825,0.58568,0.69855,0.43292,1.33569,1.1364,1.12559,0.000775822,0.000775822,0.000775822
56,2281.57,1.5655,1.38877,1.18272,0.75208,0.6108,0.70061,0.43356,1.35628,1.11538,1.14564,0.000759318,0.000759318,0.000759318
57,2321.65,1.55875,1.37201,1.17747,0.73475,0.61261,0.70402,0.43789,1.36194,1.13258,1.14215,0.000742815,0.000742815,0.000742815
58,2362.25,1.56779,1.36561,1.18171,0.73117,0.60771,0.69954,0.43712,1.33831,1.1045,1.13749,0.000726312,0.000726312,0.000726312
59,2402.91,1.5681,1.36728,1.1776,0.74869,0.6022,0.70231,0.44086,1.34078,1.09752,1.13583,0.000709809,0.000709809,0.000709809
60,2443.12,1.55469,1.36714,1.18332,0.75876,0.59364,0.69953,0.44074,1.35405,1.12009,1.13667,0.000693305,0.000693305,0.000693305
61,2483.48,1.53873,1.37237,1.17928,0.74774,0.6186,0.71647,0.44736,1.33318,1.08489,1.13463,0.000676802,0.000676802,0.000676802
62,2523.63,1.54966,1.36862,1.17637,0.76983,0.58951,0.70282,0.43748,1.33219,1.10203,1.12921,0.000660299,0.000660299,0.000660299
63,2564.17,1.56173,1.36607,1.17644,0.72709,0.61322,0.69831,0.43525,1.34422,1.11381,1.13245,0.000643795,0.000643795,0.000643795
64,2606.19,1.56031,1.35598,1.17317,0.75494,0.60709,0.71031,0.4392,1.35009,1.09236,1.14513,0.000627292,0.000627292,0.000627292
65,2649.29,1.55203,1.36002,1.17396,0.74306,0.61873,0.70868,0.44464,1.33818,1.10272,1.13028,0.000610789,0.000610789,0.000610789
66,2691.5,1.54784,1.34671,1.16726,0.73653,0.612,0.70931,0.43553,1.37106,1.10659,1.14172,0.000594286,0.000594286,0.000594286
67,2734.3,1.54763,1.34117,1.16725,0.72871,0.62631,0.70222,0.43206,1.36588,1.09212,1.14094,0.000577782,0.000577782,0.000577782
68,2776.23,1.53047,1.34554,1.16786,0.76396,0.61934,0.71338,0.44645,1.33418,1.08551,1.13318,0.000561279,0.000561279,0.000561279
69,2818.75,1.5439,1.34185,1.16705,0.73234,0.62607,0.71215,0.44472,1.33738,1.08804,1.12897,0.000544776,0.000544776,0.000544776
70,2861.39,1.54517,1.35206,1.16401,0.74426,0.61624,0.71335,0.44593,1.33397,1.0891,1.13166,0.000528272,0.000528272,0.000528272
71,2904.08,1.52395,1.33796,1.16397,0.76479,0.59498,0.71005,0.44269,1.33355,1.10226,1.13039,0.000511769,0.000511769,0.000511769
72,2946.17,1.51906,1.34075,1.17151,0.74525,0.62118,0.71849,0.45248,1.32157,1.06974,1.12249,0.000495266,0.000495266,0.000495266
73,2988.3,1.52662,1.32881,1.16024,0.74895,0.62179,0.7147,0.45052,1.33031,1.07038,1.13045,0.000478762,0.000478762,0.000478762
74,3031.04,1.53489,1.33492,1.16113,0.74154,0.6175,0.71297,0.44837,1.326,1.07197,1.12574,0.000462259,0.000462259,0.000462259
75,3073.41,1.52731,1.33943,1.16305,0.7582,0.60832,0.71053,0.44681,1.32176,1.07726,1.12718,0.000445756,0.000445756,0.000445756
76,3115.86,1.51922,1.33329,1.16188,0.72695,0.6224,0.71576,0.45173,1.31345,1.07407,1.12396,0.000429253,0.000429253,0.000429253
77,3158.51,1.52943,1.32344,1.16013,0.75129,0.62668,0.72361,0.45395,1.3128,1.07276,1.12067,0.000412749,0.000412749,0.000412749
78,3200.8,1.51623,1.31902,1.15863,0.75512,0.62546,0.71802,0.44816,1.33158,1.06879,1.12938,0.000396246,0.000396246,0.000396246
79,3241.58,1.52194,1.32207,1.16071,0.76523,0.61839,0.72107,0.45536,1.30264,1.06014,1.11566,0.000379743,0.000379743,0.000379743
80,3282.08,1.52024,1.31868,1.16018,0.74075,0.63403,0.72127,0.45571,1.31006,1.05797,1.12161,0.000363239,0.000363239,0.000363239
81,3322.75,1.51672,1.31385,1.15368,0.75751,0.6377,0.72522,0.45881,1.31538,1.0508,1.12454,0.000346736,0.000346736,0.000346736
82,3363.19,1.51692,1.30535,1.15224,0.75237,0.62913,0.7237,0.45296,1.32488,1.06222,1.12584,0.000330233,0.000330233,0.000330233
83,3403.9,1.50638,1.29523,1.15354,0.77237,0.62607,0.72675,0.45959,1.30205,1.04061,1.11538,0.000313729,0.000313729,0.000313729
84,3444.18,1.50834,1.31588,1.15437,0.77341,0.61621,0.72431,0.45671,1.30552,1.04795,1.11333,0.000297226,0.000297226,0.000297226
85,3486.37,1.50257,1.30799,1.15511,0.7518,0.63647,0.72512,0.45775,1.31224,1.04834,1.11864,0.000280723,0.000280723,0.000280723
86,3526.53,1.51221,1.29732,1.14786,0.75619,0.61873,0.72091,0.45703,1.30178,1.0578,1.11257,0.00026422,0.00026422,0.00026422
87,3567.11,1.49263,1.28991,1.14516,0.75966,0.62481,0.72155,0.45576,1.30886,1.05395,1.11945,0.000247716,0.000247716,0.000247716
88,3607.57,1.4885,1.27822,1.14411,0.76239,0.62362,0.72426,0.45926,1.31079,1.05457,1.11534,0.000231213,0.000231213,0.000231213
89,3648.01,1.50186,1.30613,1.14551,0.75405,0.63231,0.7246,0.45687,1.31026,1.04985,1.12254,0.00021471,0.00021471,0.00021471
90,3688.95,1.50122,1.28478,1.14215,0.75534,0.63035,0.72126,0.45919,1.30356,1.04365,1.11781,0.000198206,0.000198206,0.000198206
91,3727.85,1.52124,1.36358,1.19166,0.74913,0.6224,0.71509,0.44507,1.34458,1.07702,1.1314,0.000181703,0.000181703,0.000181703
92,3765.89,1.48123,1.28855,1.17464,0.73856,0.62757,0.72011,0.45306,1.32085,1.0586,1.12198,0.0001652,0.0001652,0.0001652
93,3804.27,1.4822,1.30162,1.18074,0.76047,0.61261,0.71495,0.44976,1.32553,1.05906,1.12342,0.000148696,0.000148696,0.000148696
94,3842.1,1.4707,1.28314,1.16804,0.75832,0.61812,0.71541,0.45367,1.31554,1.05656,1.11951,0.000132193,0.000132193,0.000132193
95,3880.38,1.47004,1.28216,1.17193,0.7544,0.61934,0.71871,0.45607,1.31795,1.05764,1.11926,0.00011569,0.00011569,0.00011569
96,3918.62,1.46909,1.28737,1.17127,0.76098,0.62056,0.71975,0.45379,1.32054,1.05663,1.12169,9.91865e-05,9.91865e-05,9.91865e-05
97,3956.41,1.45286,1.25786,1.16041,0.77173,0.62279,0.72315,0.45718,1.31107,1.04819,1.11511,8.26832e-05,8.26832e-05,8.26832e-05
98,3994.43,1.45343,1.27191,1.16347,0.77269,0.6175,0.72034,0.45476,1.31691,1.04932,1.12,6.61799e-05,6.61799e-05,6.61799e-05
99,4032.67,1.44956,1.26407,1.15755,0.75819,0.63219,0.72104,0.4565,1.31182,1.05427,1.11625,4.96766e-05,4.96766e-05,4.96766e-05
100,4070.81,1.45733,1.27158,1.16799,0.7669,0.61873,0.72097,0.4567,1.31206,1.05206,1.11679,3.31733e-05,3.31733e-05,3.31733e-05
