epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.8344,0.79736,1.30916,1.82726,1.10827,0.76371,0.77027,0.81405,0.52211,0.76864,0.75097,0.80427,0.42733,0.7232,0.90279,1.19172,1.06326,0.0713628,0.00313249,0.00313249
2,40.128,0.6962,0.96367,0.93157,0.96844,0.77172,0.80309,0.82022,0.52589,0.79609,0.78384,0.81867,0.40728,0.77642,0.94371,1.15759,1.1278,0.0424711,0.00622381,0.00622381
3,58.0765,0.70756,0.94725,0.85118,0.98539,0.7636,0.66023,0.71732,0.44993,0.74671,0.64479,0.69129,0.32712,0.82437,1.08038,1.53855,1.19837,0.0135171,0.00925272,0.00925272
4,75.9351,0.72129,0.93843,0.84364,0.99377,0.73805,0.73938,0.75941,0.47434,0.70612,0.72201,0.7247,0.33769,0.84856,1.0966,1.06429,1.23295,0.00956731,0.00956731,0.00956731
5,93.5576,0.69606,0.91515,0.78462,0.9835,0.73702,0.70849,0.74782,0.48121,0.77474,0.69884,0.76324,0.33445,0.83612,1.10058,0.98136,1.23036,0.00946975,0.00946975,0.00946975
6,111.443,0.6641,0.84696,0.71571,0.963,0.79495,0.77992,0.79573,0.51672,0.7885,0.7773,0.79796,0.41247,0.80509,1.01633,0.88737,1.18416,0.00937218,0.00937218,0.00937218
7,129.211,0.64248,0.81615,0.67854,0.95198,0.818,0.78091,0.84219,0.55859,0.81261,0.76641,0.82108,0.44002,0.7536,0.94644,0.79025,1.12268,0.00927462,0.00927462,0.00927462
8,147.078,0.6049,0.79253,0.6218,0.93037,0.80324,0.81274,0.8326,0.55415,0.79892,0.80534,0.81271,0.44114,0.75711,0.94873,0.8304,1.11605,0.00917705,0.00917705,0.00917705
9,164.462,0.58713,0.76523,0.59631,0.91492,0.84023,0.73938,0.83391,0.58385,0.83428,0.73864,0.83491,0.47402,0.70443,0.88691,0.72304,1.07039,0.00907949,0.00907949,0.00907949
10,182.083,0.572,0.74984,0.56919,0.90993,0.82019,0.73086,0.80792,0.5354,0.83785,0.74324,0.82175,0.4193,0.74869,0.97569,0.76692,1.12878,0.00898193,0.00898193,0.00898193
11,199.745,0.56315,0.75173,0.56174,0.9085,0.81983,0.82573,0.84938,0.58811,0.81541,0.81016,0.82607,0.43883,0.72124,0.9842,0.67737,1.09118,0.00888436,0.00888436,0.00888436
12,217.24,0.5491,0.71816,0.53407,0.891,0.8349,0.78185,0.82959,0.58461,0.85511,0.78616,0.84617,0.46264,0.69514,0.86281,0.7637,1.06014,0.0087868,0.0087868,0.0087868
13,234.858,0.52682,0.70307,0.50902,0.88476,0.85363,0.79937,0.85333,0.58397,0.85578,0.80187,0.86023,0.46537,0.72065,0.9064,0.68953,1.10887,0.00868924,0.00868924,0.00868924
14,252.361,0.51145,0.67732,0.50383,0.88209,0.8526,0.78378,0.86657,0.60292,0.86847,0.79344,0.87478,0.49679,0.70214,0.84904,0.69168,1.09143,0.00859167,0.00859167,0.00859167
15,270.063,0.51397,0.68027,0.48951,0.87842,0.82977,0.82046,0.84469,0.58389,0.83194,0.82046,0.85187,0.4625,0.71246,0.93298,0.69977,1.11966,0.00849411,0.00849411,0.00849411
16,287.811,0.51005,0.68768,0.49086,0.87544,0.85395,0.83527,0.88019,0.62422,0.85518,0.83217,0.88474,0.5053,0.66835,0.85983,0.68547,1.04291,0.00839654,0.00839654,0.00839654
17,305.58,0.49454,0.66269,0.47418,0.86817,0.82842,0.7722,0.84512,0.59075,0.83126,0.77413,0.85073,0.48229,0.69447,0.86273,0.70147,1.08391,0.00829898,0.00829898,0.00829898
18,322.992,0.49453,0.64523,0.46609,0.86739,0.81169,0.81081,0.85205,0.59435,0.80529,0.80639,0.84546,0.48705,0.69878,0.86493,0.66102,1.10033,0.00820142,0.00820142,0.00820142
19,340.527,0.48151,0.64379,0.45661,0.86311,0.84674,0.82127,0.86963,0.61267,0.86137,0.82766,0.88667,0.49787,0.68124,0.85876,0.63032,1.05348,0.00810385,0.00810385,0.00810385
20,358.039,0.48006,0.6396,0.44984,0.86269,0.85875,0.79151,0.85822,0.60236,0.88196,0.79923,0.87418,0.49046,0.69701,0.87298,0.62773,1.09192,0.00800629,0.00800629,0.00800629
21,375.751,0.4625,0.62464,0.43561,0.85372,0.85673,0.8081,0.8828,0.63226,0.85621,0.81467,0.88348,0.51046,0.65615,0.8479,0.59417,1.04453,0.00790873,0.00790873,0.00790873
22,393.458,0.46223,0.62109,0.43893,0.85433,0.85049,0.82362,0.88765,0.62797,0.86971,0.81853,0.89279,0.51982,0.64809,0.82778,0.58952,1.04268,0.00781116,0.00781116,0.00781116
23,411.137,0.44827,0.60398,0.4154,0.84921,0.86782,0.82385,0.89681,0.64352,0.86264,0.82441,0.88745,0.51433,0.63209,0.82802,0.60091,1.02552,0.0077136,0.0077136,0.0077136
24,428.722,0.44743,0.59543,0.41829,0.84311,0.8305,0.83398,0.88316,0.63531,0.84291,0.8494,0.89385,0.51799,0.66292,0.83652,0.59569,1.05772,0.00761603,0.00761603,0.00761603
25,446.158,0.45014,0.60245,0.42002,0.84621,0.86864,0.84254,0.90171,0.64241,0.87648,0.83559,0.91001,0.5214,0.64881,0.81949,0.55038,1.04095,0.00751847,0.00751847,0.00751847
26,463.716,0.43853,0.58978,0.41576,0.8425,0.861,0.82046,0.89102,0.64135,0.88374,0.80888,0.89123,0.51652,0.65495,0.88076,0.59603,1.0503,0.00742091,0.00742091,0.00742091
27,481.151,0.43649,0.57946,0.40561,0.84102,0.88791,0.84108,0.90374,0.64961,0.88995,0.84301,0.90768,0.52627,0.64806,0.81614,0.57006,1.04743,0.00732334,0.00732334,0.00732334
28,498.804,0.42958,0.57943,0.395,0.84567,0.86289,0.83831,0.9,0.65386,0.863,0.83398,0.89846,0.52928,0.64399,0.81175,0.55649,1.02938,0.00722578,0.00722578,0.00722578
29,516.319,0.42253,0.55417,0.39271,0.83594,0.85647,0.86873,0.91375,0.66374,0.85266,0.86486,0.90083,0.53251,0.6316,0.80473,0.53749,1.01117,0.00712822,0.00712822,0.00712822
30,534.087,0.42301,0.56658,0.39131,0.83453,0.90605,0.83784,0.91517,0.66888,0.91232,0.84363,0.92216,0.54616,0.61022,0.80983,0.5312,0.98664,0.00703065,0.00703065,0.00703065
31,551.731,0.41791,0.55409,0.38617,0.83572,0.8594,0.84957,0.8931,0.63188,0.87632,0.85521,0.89982,0.51565,0.65129,0.84751,0.58522,1.02453,0.00693309,0.00693309,0.00693309
32,569.237,0.4165,0.56692,0.38373,0.83102,0.89768,0.82986,0.89677,0.64722,0.89976,0.83179,0.89164,0.52708,0.6347,0.79927,0.57324,1.01802,0.00683552,0.00683552,0.00683552
33,586.734,0.40843,0.54542,0.37959,0.82928,0.87323,0.8378,0.90684,0.65476,0.89153,0.85328,0.91711,0.53414,0.63585,0.80978,0.55152,1.00917,0.00673796,0.00673796,0.00673796
34,604.374,0.39739,0.52661,0.3711,0.82769,0.87062,0.85742,0.90769,0.65579,0.87847,0.86514,0.91205,0.52434,0.63848,0.82524,0.52236,1.01726,0.0066404,0.0066404,0.0066404
35,621.769,0.40113,0.52948,0.37235,0.82906,0.88182,0.86427,0.91351,0.66185,0.89523,0.87452,0.92174,0.54218,0.65082,0.80222,0.53167,1.02355,0.00654283,0.00654283,0.00654283
36,639.172,0.39318,0.53161,0.36527,0.82309,0.90309,0.84557,0.90832,0.67067,0.90106,0.84389,0.90434,0.53652,0.62683,0.82165,0.50899,1.03186,0.00644527,0.00644527,0.00644527
37,656.791,0.39485,0.52983,0.36391,0.82159,0.89394,0.83977,0.90545,0.66952,0.88596,0.8417,0.90362,0.53338,0.62068,0.83217,0.532,1.0119,0.00634771,0.00634771,0.00634771
38,674.405,0.39248,0.51121,0.35866,0.82561,0.88073,0.87259,0.91154,0.66947,0.88146,0.86486,0.90534,0.5445,0.61919,0.7997,0.50513,1.0121,0.00625014,0.00625014,0.00625014
39,692.03,0.3848,0.50679,0.35566,0.81804,0.88552,0.83205,0.9071,0.66797,0.89673,0.8417,0.9182,0.54745,0.61934,0.79777,0.51008,1.0266,0.00615258,0.00615258,0.00615258
40,709.588,0.37653,0.50858,0.35152,0.8204,0.87858,0.85214,0.90717,0.66482,0.8746,0.84827,0.90602,0.53668,0.6289,0.80719,0.55381,1.01299,0.00605502,0.00605502,0.00605502
41,727.129,0.38314,0.51283,0.35528,0.81717,0.89163,0.84179,0.91003,0.67642,0.90089,0.84229,0.90062,0.53802,0.60515,0.81726,0.51386,1.00171,0.00595745,0.00595745,0.00595745
42,744.632,0.37833,0.50699,0.34849,0.81514,0.88641,0.87375,0.91256,0.66507,0.89422,0.85907,0.90919,0.53937,0.61789,0.8039,0.5124,0.99534,0.00585989,0.00585989,0.00585989
43,762.138,0.36594,0.50088,0.33818,0.81132,0.8829,0.85135,0.89503,0.66319,0.88541,0.85027,0.8995,0.53773,0.61814,0.80787,0.51618,1.0011,0.00576232,0.00576232,0.00576232
44,779.712,0.36661,0.50196,0.34248,0.81045,0.89609,0.86572,0.91268,0.67316,0.89817,0.86844,0.91461,0.55082,0.61555,0.7763,0.50795,0.99949,0.00566476,0.00566476,0.00566476
45,797.164,0.36591,0.48749,0.33368,0.80983,0.85909,0.86873,0.90079,0.65446,0.86445,0.87415,0.90954,0.54326,0.6233,0.77711,0.51122,1.02119,0.0055672,0.0055672,0.0055672
46,814.6,0.36424,0.48141,0.33428,0.81274,0.89062,0.86455,0.92472,0.68535,0.89553,0.84395,0.91618,0.54406,0.60456,0.80537,0.48227,0.99788,0.00546963,0.00546963,0.00546963
47,832.37,0.36738,0.49576,0.33719,0.81601,0.88222,0.87066,0.91489,0.66954,0.88222,0.87066,0.91279,0.55134,0.61213,0.78259,0.51125,1.00891,0.00537207,0.00537207,0.00537207
48,849.958,0.35663,0.48708,0.33373,0.80883,0.86008,0.89,0.92565,0.69166,0.89701,0.85521,0.92048,0.55816,0.59434,0.76392,0.4615,0.97793,0.00527451,0.00527451,0.00527451
49,867.414,0.3615,0.48716,0.33257,0.81136,0.8853,0.86426,0.91633,0.67955,0.92802,0.84363,0.93183,0.56059,0.61011,0.80296,0.48213,1.01177,0.00517694,0.00517694,0.00517694
50,884.963,0.34881,0.4799,0.32623,0.80143,0.89688,0.87309,0.91902,0.67553,0.90883,0.88525,0.93532,0.54931,0.61361,0.80316,0.47781,1.01046,0.00507938,0.00507938,0.00507938
